,Drug1_ID
177,DB06808
178,DB03754
179,DB06788
180,DB11133
181,DB00388
182,DB00305
183,DB09209
184,DB01064
185,DB04918
186,DB01270
187,DB06207
188,DB00465
189,DB00593
190,DB01623
191,DB04570
192,DB05246
193,DB06213
194,DB00768
195,DB01418
196,DB00782
197,DB09039
198,DB00061
199,DB00993
200,DB01257
201,DB00176
202,DB06700
203,DB08976
204,DB00571
205,DB06699
206,DB05773
207,DB04844
208,DB06186
209,DB00325
210,DB00648
211,DB08911
212,DB08881
213,DB01225
214,DB08872
215,DB00722
216,DB09147
217,DB01082
218,DB00422
219,DB00252
220,DB00674
221,DB00912
222,DB00951
223,DB01411
224,DB00544
225,DB00727
226,DB01165
227,DB09291
228,DB09269
229,DB01132
230,DB01058
231,DB08889
232,DB09101
233,DB00017
234,DB05521
235,DB01399
236,DB09122
237,DB00975
238,DB06196
239,DB04895
240,DB04982
241,DB00344
242,DB01171
243,DB00436
244,DB08439
245,DB01022
246,DB00019
247,DB07615
248,DB06273
249,DB01591
250,DB00621
251,DB00318
252,DB08914
253,DB01149
254,DB09221
255,DB05245
256,DB01166
257,DB00865
258,DB09131
259,DB09135
260,DB01392
261,DB00099
262,DB01236
263,DB09072
264,DB00639
265,DB06789
266,DB00816
267,DB05578
268,DB10283
269,DB01036
270,DB00930
271,DB06707
272,DB00086
273,DB01182
274,DB01463
275,DB01119
276,DB01109
277,DB01558
278,DB00891
279,DB03615
280,DB00380
281,DB01380
282,DB00757
283,DB00688
284,DB00029
285,DB00677
286,DB01128
287,DB00609
288,DB06824
289,DB00634
290,DB01099
291,DB00220
292,DB00769
293,DB01393
294,DB04843
295,DB00830
296,DB00496
297,DB01234
298,DB09146
299,DB04831
300,DB00669
301,DB09123
302,DB00260
303,DB01408
304,DB01333
305,DB06589
306,DB00395
307,DB09267
308,DB01098
309,DB00531
310,DB01147
311,DB01606
312,DB00107
313,DB00852
314,DB00747
315,DB00235
316,DB00175
317,DB01427
318,DB01151
319,DB01015
320,DB00625
321,DB11256
322,DB00136
323,DB00927
324,DB00917
325,DB04272
326,DB06626
327,DB01328
328,DB06204
329,DB01600
330,DB01582
331,DB00317
332,DB01168
333,DB00413
334,DB06710
335,DB00843
336,DB06366
337,DB00223
338,DB00339
339,DB01611
340,DB00513
341,DB00015
342,DB01047
343,DB00324
344,DB00675
345,DB00766
346,DB01202
347,DB11354
348,DB06681
349,DB01023
350,DB01097
351,DB00018
352,DB00446
353,DB00996
354,DB01005
355,DB08819
356,DB00495
357,DB00274
358,DB01162
359,DB00275
360,DB00859
361,DB00928
362,DB09077
363,DB00089
364,DB00555
365,DB00251
366,DB01021
367,DB00060
368,DB00428
369,DB09220
370,DB09119
371,DB09214
372,DB01030
373,DB00833
374,DB09539
375,DB11124
376,DB06790
377,DB00962
378,DB04825
379,DB00561
380,DB00410
381,DB00350
382,DB00743
383,DB00624
384,DB06785
385,DB00165
386,DB08822
387,DB00449
388,DB01006
389,DB08867
390,DB01413
391,DB01319
392,DB00417
393,DB00243
394,DB01764
395,DB00539
396,DB00672
397,DB00345
398,DB00240
399,DB00739
400,DB00620
401,DB06792
402,DB03793
403,DB00508
404,DB00967
405,DB00069
406,DB01024
407,DB00560
408,DB01143
409,DB00083
410,DB06754
411,DB00696
412,DB00297
413,DB00320
414,DB00303
415,DB00604
416,DB00861
417,DB00400
418,DB06761
419,DB00958
420,DB00349
421,DB01261
422,DB06372
423,DB00657
424,DB01007
425,DB08896
426,DB05351
427,DB09211
428,DB00360
429,DB00264
430,DB01104
431,DB06414
432,DB01198
433,DB00281
434,DB00563
435,DB04339
436,DB00209
437,DB09048
438,DB00989
439,DB01140
440,DB01080
441,DB01050
442,DB01136
443,DB00477
444,DB00909
445,DB01601
446,DB00692
447,DB00478
448,DB00801
449,DB08882
450,DB00915
451,DB06711
452,DB04908
453,DB00841
454,DB09118
455,DB04841
456,DB00271
457,DB00070
458,DB00972
459,DB09080
460,DB08897
461,DB00208
462,DB01085
463,DB00712
464,DB06772
465,DB00244
466,DB08865
467,DB01176
468,DB09292
469,DB00998
470,DB00961
471,DB01148
472,DB10631
473,DB09056
474,DB09564
475,DB00650
476,DB09294
477,DB06698
478,DB00030
479,DB00323
480,DB01032
481,DB00524
482,DB01095
483,DB00774
484,DB08931
485,DB00476
486,DB01192
487,DB00206
488,DB09143
489,DB08903
490,DB09310
491,DB09078
492,DB00296
493,DB09477
494,DB00871
495,DB05259
496,DB00948
497,DB04571
498,DB00567
499,DB06210
500,DB00770
501,DB06802
502,DB01183
503,DB00108
504,DB00187
505,DB01088
506,DB04946
507,DB00665
508,DB00359
509,DB04951
510,DB00420
511,DB00689
512,DB00884
513,DB01196
514,DB00497
515,DB09236
516,DB03128
517,DB01406
518,DB00287
519,DB00338
520,DB00186
521,DB00411
522,DB00370
523,DB00532
524,DB01265
525,DB06290
526,DB00637
527,DB01291
528,DB06206
529,DB00873
530,DB00087
531,DB06781
532,DB05676
533,DB01583
534,DB01017
535,DB00976
536,DB01012
537,DB00813
538,DB00846
539,DB00857
540,DB06616
541,DB01251
542,DB06697
543,DB00242
544,DB00445
545,DB00686
546,DB00808
547,DB09117
548,DB00276
549,DB00367
550,DB09257
551,DB09034
552,DB04876
553,DB00288
554,DB00706
555,DB01269
556,DB00304
557,DB00656
558,DB00822
559,DB00185
560,DB01235
561,DB00418
562,DB09275
563,DB09153
564,DB00245
565,DB00110
566,DB06684
567,DB06719
568,DB00910
569,DB00899
570,DB06799
571,DB00950
572,DB00811
573,DB01174
574,DB09036
575,DB01553
576,DB09060
577,DB00056
578,DB01075
579,DB00521
580,DB00828
581,DB01586
582,DB00191
583,DB06402
584,DB01410
585,DB09289
586,DB00502
587,DB09097
588,DB00435
589,DB00559
590,DB01369
591,DB00754
592,DB09555
593,DB00542
594,DB08877
595,DB00091
596,DB01268
597,DB00430
598,DB00237
599,DB00353
600,DB01416
601,DB00974
602,DB00549
603,DB06714
604,DB00684
605,DB01229
606,DB01331
607,DB01042
608,DB01059
609,DB04348
610,DB09053
611,DB01332
612,DB06218
613,DB01256
614,DB09071
615,DB00758
616,DB01008
617,DB00121
618,DB09074
619,DB00213
620,DB00761
621,DB06729
622,DB00198
623,DB00490
624,DB01254
625,DB00197
626,DB01357
627,DB09183
628,DB00300
629,DB00829
630,DB08886
631,DB00570
632,DB00268
633,DB00643
634,DB00441
635,DB01161
636,DB00737
637,DB09065
638,DB01579
639,DB09270
640,DB00779
641,DB00965
642,DB00204
643,DB09073
644,DB00969
645,DB00470
646,DB00006
647,DB09096
648,DB01194
649,DB00956
650,DB01057
651,DB01339
652,DB09050
653,DB00933
654,DB09027
655,DB09285
656,DB00284
657,DB00199
658,DB00929
659,DB01394
660,DB00982
661,DB09265
662,DB00937
663,DB01320
664,DB02300
665,DB09322
666,DB00564
667,DB00327
668,DB04837
669,DB09300
670,DB09290
671,DB00222
672,DB05528
673,DB04845
674,DB00970
675,DB04910
676,DB06410
677,DB00651
678,DB09020
679,DB01020
680,DB01177
681,DB00205
682,DB00867
683,DB00397
684,DB00595
685,DB06800
686,DB01002
687,DB01407
688,DB00844
689,DB00952
690,DB00254
691,DB06724
692,DB00795
693,DB00946
694,DB00660
695,DB00357
696,DB08910
697,DB08933
698,DB00802
699,DB00203
700,DB00964
701,DB01038
702,DB00986
703,DB01144
704,DB00452
705,DB00977
706,DB00979
707,DB09156
708,DB04924
709,DB01436
710,DB00283
711,DB05266
712,DB01035
713,DB04884
714,DB02901
715,DB00877
716,DB00654
717,DB01306
718,DB00290
719,DB01285
720,DB00633
721,DB00730
722,DB06791
723,DB00853
724,DB08912
725,DB01587
726,DB00459
727,DB00613
728,DB00698
729,DB11181
730,DB01205
731,DB09302
732,DB06262
733,DB03619
734,DB00697
735,DB00378
736,DB00012
737,DB00330
738,DB09042
739,DB01043
740,DB09271
741,DB00583
742,DB00918
743,DB00051
744,DB01294
745,DB01053
746,DB06404
747,DB01273
748,DB09208
749,DB00008
750,DB06335
751,DB11222
752,DB00535
753,DB00028
754,DB06145
755,DB00159
756,DB06283
757,DB00537
758,DB00895
759,DB00520
760,DB01142
761,DB00307
762,DB01593
763,DB00953
764,DB01164
765,DB01624
766,DB01233
767,DB00374
768,DB01110
769,DB09107
770,DB06777
771,DB00611
772,DB00887
773,DB08899
774,DB09125
775,DB00278
776,DB09102
777,DB00588
778,DB01440
779,DB00279
780,DB01309
781,DB00704
782,DB00924
783,DB01111
784,DB06636
785,DB00988
786,DB00968
787,DB00550
788,DB09064
789,DB00649
790,DB10675
791,DB01288
792,DB00180
793,DB09058
794,DB00700
795,DB01414
796,DB00591
797,DB01356
798,DB01878
799,DB08864
800,DB00990
801,DB09054
802,DB01362
803,DB06663
804,DB01029
805,DB01159
806,DB01560
807,DB00835
808,DB00573
809,DB00052
810,DB01274
811,DB09560
812,DB05271
813,DB11156
814,DB00627
815,DB00498
816,DB01204
817,DB08875
818,DB00471
819,DB00475
820,DB09281
821,DB01201
822,DB01435
823,DB00361
824,DB00319
825,DB01609
826,DB01281
827,DB06690
828,DB08935
829,DB00955
830,DB08917
831,DB00540
832,DB01076
833,DB09059
834,DB00668
835,DB06717
836,DB06228
837,DB11093
838,DB00468
839,DB04711
840,DB01046
841,DB00448
842,DB00750
843,DB00748
844,DB09330
845,DB01244
846,DB00224
847,DB01114
848,DB00694
849,DB01016
850,DB01103
851,DB00582
852,DB00879
853,DB09262
854,DB00437
855,DB00603
856,DB00854
857,DB01131
858,DB00126
859,DB09112
860,DB11135
861,DB00394
862,DB06817
863,DB09242
864,DB00707
865,DB00554
866,DB04953
867,DB06715
868,DB04572
869,DB00794
870,DB00759
871,DB09278
872,DB00355
873,DB01212
874,DB09128
875,DB01364
876,DB01139
877,DB08904
878,DB01181
879,DB06605
880,DB00530
881,DB01248
882,DB00246
883,DB09043
884,DB00709
885,DB08871
886,DB06480
887,DB00831
888,DB00230
889,DB09268
890,DB01278
891,DB01063
892,DB00333
893,DB05039
894,DB01340
895,DB00369
896,DB00474
897,DB00893
898,DB00112
899,DB06216
900,DB00547
901,DB00007
902,DB00104
903,DB06637
904,DB00166
905,DB09113
906,DB00934
907,DB00082
908,DB00322
909,DB00908
910,DB00679
911,DB01438
912,DB01240
913,DB06176
914,DB01203
915,DB01602
916,DB00196
917,DB00767
918,DB00402
919,DB00623
920,DB06813
921,DB00454
922,DB00047
923,DB06822
924,DB00405
925,DB01112
926,DB00837
927,DB06201
928,DB00594
929,DB00041
930,DB00250
931,DB00293
932,DB09085
933,DB09068
934,DB00033
935,DB00414
936,DB00762
937,DB00335
938,DB08873
939,DB00869
940,DB09100
941,DB09029
942,DB06292
943,DB00016
944,DB01219
945,DB00863
946,DB00289
947,DB00068
948,DB01086
949,DB01367
950,DB00601
951,DB01403
952,DB00581
953,DB00074
954,DB00626
955,DB00803
956,DB06203
957,DB01150
958,DB04911
959,DB01260
960,DB00619
961,DB00178
962,DB00906
963,DB09067
964,DB01238
965,DB00085
966,DB00834
967,DB06603
968,DB00880
969,DB01329
970,DB00932
971,DB05679
972,DB04897
973,DB00231
974,DB00596
975,DB00257
976,DB00839
977,DB06708
978,DB09320
979,DB09241
980,DB06692
981,DB00983
982,DB02703
983,DB00455
984,DB00787
985,DB00486
986,DB01158
987,DB00631
988,DB00481
989,DB09030
990,DB00321
991,DB00408
992,DB01627
993,DB00391
994,DB00806
995,DB05239
996,DB00440
997,DB00401
998,DB00341
999,DB09303
1000,DB01581
1001,DB00120
1002,DB01544
1003,DB06219
1004,DB08879
1005,DB08905
1006,DB00316
1007,DB00429
1008,DB00054
1009,DB00294
1010,DB05015
1011,DB00780
1012,DB00615
1013,DB00328
1014,DB01124
1015,DB01184
1016,DB00427
1017,DB00653
1018,DB00387
1019,DB00883
1020,DB00433
1021,DB00847
1022,DB00390
1023,DB00301
1024,DB01620
1025,DB00984
1026,DB00569
1027,DB01106
1028,DB11248
1029,DB01167
1030,DB00376
1031,DB00814
1032,DB06274
1033,DB01156
1034,DB00618
1035,DB04574
1036,DB01138
1037,DB01223
1038,DB01214
1039,DB00158
1040,DB08900
1041,DB00479
1042,DB09162
1043,DB00741
1044,DB00710
1045,DB00202
1046,DB00577
1047,DB00565
1048,DB01061
1049,DB01173
1050,DB01049
1051,DB09570
1052,DB00480
1053,DB00514
1054,DB01415
1055,DB01377
1056,DB00881
1057,DB01074
1058,DB06237
1059,DB00238
1060,DB00398
1061,DB09049
1062,DB00308
1063,DB00313
1064,DB06282
1065,DB01169
1066,DB00842
1067,DB00412
1068,DB00652
1069,DB00282
1070,DB09066
1071,DB00703
1072,DB00482
1073,DB01264
1074,DB01118
1075,DB00048
1076,DB00122
1077,DB00065
1078,DB09038
1079,DB00876
1080,DB00450
1081,DB00039
1082,DB00200
1083,DB00896
1084,DB00551
1085,DB00499
1086,DB08813
1087,DB00248
1088,DB00764
1089,DB00210
1090,DB01130
1091,DB00023
1092,DB01232
1093,DB01326
1094,DB04842
1095,DB01344
1096,DB06643
1097,DB01604
1098,DB00608
1099,DB06786
1100,DB00994
1101,DB01400
1102,DB09075
1103,DB00488
1104,DB00907
1105,DB01081
1106,DB00315
1107,DB05109
1108,DB00850
1109,DB09517
1110,DB01263
1111,DB00695
1112,DB00233
1113,DB00526
1114,DB01037
1115,DB00543
1116,DB00195
1117,DB06820
1118,DB09076
1119,DB00184
1120,DB00150
1121,DB01592
1122,DB00444
1123,DB00098
1124,DB00921
1125,DB00451
1126,DB06401
1127,DB00773
1128,DB00484
1129,DB01284
1130,DB00724
1131,DB00277
1132,DB01277
1133,DB00314
1134,DB01137
1135,DB04861
1136,DB01250
1137,DB08907
1138,DB06769
1139,DB00736
1140,DB00721
1141,DB00755
1142,DB00771
1143,DB01501
1144,DB11126
1145,DB01072
1146,DB01432
1147,DB09083
1148,DB09545
1149,DB08820
1150,DB00681
1151,DB00640
1152,DB00351
1153,DB04868
1154,DB00190
1155,DB01073
1156,DB01353
1157,DB09082
1158,DB00014
1159,DB09288
1160,DB00687
1161,DB01175
1162,DB00269
1163,DB00500
1164,DB04835
1165,DB00425
1166,DB01003
1167,DB01018
1168,DB06209
1169,DB00860
1170,DB00393
1171,DB09279
1172,DB00745
1173,DB11080
1174,DB00460
1175,DB01178
1176,DB00457
1177,DB00005
1178,DB00607
1179,DB00358
1180,DB01065
1181,DB01259
1182,DB01211
1183,DB00541
1184,DB04817
1185,DB05812
1186,DB00312
1187,DB00342
1188,DB08898
1189,DB01221
1190,DB02701
1191,DB00898
1192,DB00821
1193,DB08794
1194,DB00919
1195,DB08868
1196,DB00494
1197,DB01337
1198,DB01595
1199,DB04938
1200,DB00270
1201,DB00788
1202,DB01597
1203,DB00671
1204,DB00232
1205,DB00392
1206,DB09274
1207,DB00153
1208,DB00872
1209,DB00347
1210,DB09069
1211,DB00207
1212,DB08909
1213,DB00485
1214,DB09009
1215,DB01556
1216,DB00781
1217,DB08870
1218,DB01218
1219,DB00888
1220,DB00022
1221,DB01567
1222,DB01576
1223,DB01365
1224,DB00384
1225,DB00790
1226,DB00310
1227,DB06655
1228,DB00740
1229,DB00267
1230,DB09026
1231,DB00035
1232,DB10532
1233,DB08887
1234,DB01000
1235,DB00368
1236,DB01395
1237,DB09256
1238,DB00518
1239,DB00218
1240,DB00363
1241,DB00379
1242,DB00925
1243,DB00605
1244,DB00718
1245,DB00691
1246,DB08901
1247,DB00266
1248,DB02546
1249,DB00849
1250,DB09130
1251,DB00575
1252,DB00949
1253,DB00263
1254,DB01197
1255,DB00744
1256,DB00040
1257,DB06826
1258,DB00020
1259,DB00622
1260,DB00078
1261,DB00140
1262,DB00960
1263,DB06144
1264,DB09547
1265,DB00578
1266,DB01069
1267,DB00042
1268,DB01397
1269,DB01210
1270,DB08932
1271,DB00229
1272,DB00763
1273,DB00935
1274,DB00804
1275,DB01215
1276,DB00173
1277,DB05829
1278,DB06825
1279,DB00188
1280,DB01010
1281,DB00026
1282,DB00059
1283,DB01262
1284,DB01605
1285,DB00291
1286,DB00519
1287,DB01577
1288,DB01249
1289,DB09293
1290,DB00775
1291,DB00046
1292,DB00746
1293,DB00818
1294,DB00742
1295,DB00720
1296,DB05278
1297,DB00545
1298,DB01563
1299,DB00666
1300,DB08992
1301,DB00050
1302,DB06688
1303,DB00985
1304,DB00404
1305,DB11315
1306,DB06767
1307,DB00875
1308,DB01323
1309,DB00181
1310,DB00991
1311,DB00415
1312,DB01013
1313,DB00103
1314,DB09323
1315,DB01185
1316,DB09276
1317,DB01087
1318,DB00599
1319,DB00080
1320,DB06695
1321,DB06287
1322,DB09280
1323,DB00923
1324,DB00334
1325,DB01133
1326,DB00864
1327,DB00734
1328,DB00552
1329,DB00610
1330,DB00491
1331,DB01127
1332,DB01033
1333,DB00756
1334,DB00399
1335,DB08860
1336,DB00331
1337,DB00897
1338,DB00442
1339,DB06148
1340,DB09301
1341,DB00458
1342,DB09287
1343,DB00606
1344,DB08947
1345,DB00523
1346,DB06779
1347,DB00642
1348,DB01190
1349,DB00043
1350,DB01589
1351,DB00285
1352,DB00713
1353,DB01172
1354,DB01276
1355,DB00512
1356,DB06696
1357,DB09391
1358,DB00072
1359,DB08906
1360,DB01381
1361,DB11110
1362,DB06730
1363,DB06268
1364,DB01409
1365,DB01307
1366,DB04865
1367,DB00295
1368,DB00311
1369,DB08824
1370,DB00371
1371,DB01206
1372,DB04871
1373,DB00261
1374,DB01100
1375,DB00375
1376,DB06701
1377,DB00456
1378,DB00255
1379,DB11122
1380,DB00302
1381,DB09277
1382,DB02659
1383,DB09222
1384,DB06704
1385,DB01001
1386,DB00515
1387,DB00731
1388,DB09282
1389,DB00036
1390,DB09033
1391,DB01355
1392,DB00862
1393,DB09134
1394,DB00678
1395,DB00424
1396,DB08930
1397,DB01590
1398,DB01126
1399,DB04854
1400,DB06782
1401,DB00492
1402,DB01054
1403,DB00373
1404,DB06594
1405,DB00262
1406,DB09166
1407,DB09401
1408,DB00728
1409,DB06415
1410,DB00586
1411,DB00658
1412,DB00630
1413,DB09235
1414,DB00215
1415,DB01062
1416,DB01014
1417,DB01255
1418,DB00584
1419,DB01267
1420,DB08918
1421,DB06706
1422,DB00528
1423,DB01614
1424,DB01607
1425,DB09167
1426,DB00855
1427,DB00105
1428,DB00717
1429,DB00193
1430,DB04839
1431,DB01009
1432,DB00201
1433,DB04899
1434,DB01247
1435,DB11249
1436,DB01708
1437,DB00169
1438,DB06211
1439,DB00356
1440,DB00434
1441,DB01224
1442,DB01193
1443,DB00836
1444,DB01071
1445,DB10829
1446,DB00273
1447,DB01011
1448,DB09055
1449,DB00598
1450,DB00753
1451,DB01060
1452,DB00832
1453,DB04896
1454,DB00100
1455,DB09035
1456,DB01189
1457,DB00381
1458,DB01612
1459,DB01610
1460,DB01041
1461,DB09227
1462,DB00472
1463,DB00690
1464,DB01101
1465,DB01048
1466,DB01598
1467,DB01551
1468,DB01083
1469,DB00489
1470,DB00612
1471,DB01068
1472,DB00409
1473,DB08895
1474,DB00438
1475,DB00146
1476,DB01208
1477,DB00673
1478,DB01275
1479,DB00366
1480,DB01575
1481,DB00421
1482,DB08827
1483,DB01239
1484,DB09063
1485,DB00905
1486,DB09273
1487,DB06764
1488,DB01298
1489,DB01120
1490,DB00241
1491,DB00553
1492,DB00661
1493,DB00309
1494,DB01330
1495,DB00783
1496,DB00234
1497,DB00708
1498,DB01282
1499,DB00882
1500,DB00715
1501,DB01621
1502,DB09061
1503,DB09295
1504,DB04920
1505,DB00819
1506,DB00938
1507,DB00109
1508,DB06702
1509,DB01489
1510,DB00343
1511,DB01163
1512,DB00396
1513,DB00557
