DB00794	DB08901
DB00266	DB01241
DB00029	DB09068
DB00051	DB00337
DB00320	DB00409
DB00454	DB00898
DB00604	DB09054
DB00366	DB00761
DB01167	DB08901
DB06288	DB09042
DB01095	DB01118
DB00794	DB00903
DB01223	DB09273
DB00450	DB09128
DB06207	DB06273
DB01278	DB01409
DB00332	DB00782
DB00333	DB00413
DB00425	DB01100
DB00300	DB00784
DB00722	DB11354
DB00908	DB09048
DB00752	DB01224
DB06706	DB09042
DB00220	DB00499
DB00862	DB00883
DB01178	DB09097
DB00307	DB00675
DB00246	DB00834
DB00980	DB05521
DB00622	DB00673
DB00313	DB00358
DB00732	DB00908
DB00794	DB06697
DB00304	DB03880
DB00648	DB04574
DB01120	DB09046
DB00281	DB01210
DB00215	DB00686
DB01151	DB01182
DB00924	DB06144
DB01600	DB08794
DB01253	DB09118
DB00264	DB00622
DB00322	DB00682
DB00337	DB06287
DB00440	DB00542
DB00014	DB01601
DB00761	DB01403
DB00404	DB00653
DB00295	DB00366
DB00220	DB09547
DB00625	DB06414
DB00820	DB01197
DB01001	DB01365
DB00104	DB01018
DB00188	DB01087
DB00370	DB00555
DB01612	DB09112
DB00269	DB06413
DB00863	DB01167
DB00492	DB01390
DB00404	DB01223
DB00656	DB06144
DB08873	DB09073
DB00404	DB00677
DB00976	DB01590
DB01211	DB08870
DB01232	DB01268
DB09053	DB09118
DB00195	DB09220
DB00331	DB00780
DB00356	DB00715
DB04946	DB09117
DB00268	DB00537
DB00503	DB00802
DB00831	DB01560
DB00906	DB08912
DB00909	DB09036
DB00178	DB00862
DB00615	DB09063
DB01264	DB06772
DB00697	DB01241
DB00475	DB09272
DB00806	DB00999
DB01076	DB01609
DB00334	DB00486
DB00318	DB01012
DB06717	DB09049
DB00393	DB01319
DB00266	DB01142
DB00042	DB00083
DB00977	DB08794
DB00749	DB01609
DB00675	DB00679
DB00484	DB06204
DB00889	DB01142
DB00898	DB00915
DB00586	DB00798
DB00872	DB01100
DB01323	DB04855
DB00224	DB01215
DB00945	DB01175
DB00065	DB00072
DB00465	DB00687
DB00662	DB08897
DB00304	DB06271
DB06210	DB11110
DB00512	DB08976
DB00569	DB09075
DB00611	DB09117
DB01206	DB01238
DB00741	DB00930
DB04868	DB09083
DB00803	DB00994
DB00761	DB00979
DB00790	DB00945
DB00328	DB01208
DB00083	DB00623
DB01095	DB11354
DB00382	DB00748
DB00674	DB01063
DB00334	DB01367
DB08918	DB09042
DB00387	DB01403
DB00956	DB09119
DB00196	DB06702
DB00041	DB00177
DB00343	DB04908
DB00321	DB01067
DB00337	DB06772
DB00358	DB00648
DB00682	DB00713
DB00472	DB00477
DB00502	DB01009
DB00919	DB00991
DB00436	DB01232
DB00325	DB00806
DB00186	DB00972
DB01203	DB01235
DB00328	DB00700
DB06335	DB09564
DB00758	DB01054
DB00684	DB00766
DB00091	DB01353
DB00477	DB01151
DB00422	DB00682
DB00686	DB00758
DB01111	DB01172
DB00816	DB06704
DB00976	DB09049
DB00277	DB00983
DB00678	DB01356
DB00379	DB00831
DB01156	DB01242
DB00450	DB01192
DB01211	DB08873
DB00484	DB00754
DB06290	DB09054
DB00294	DB09280
DB00204	DB00215
DB02703	DB06626
DB00872	DB06684
DB01238	DB08816
DB00436	DB09214
DB00705	DB06414
DB00081	DB00861
DB00368	DB00388
DB00268	DB01621
DB00682	DB02546
DB00086	DB01175
DB00980	DB01045
DB00884	DB03615
DB01365	DB11124
DB00196	DB00530
DB00346	DB00519
DB00318	DB00421
DB00343	DB09242
DB00323	DB01173
DB00187	DB00474
DB00608	DB06603
DB00559	DB00628
DB00073	DB01656
DB00042	DB00835
DB00263	DB00682
DB00543	DB06704
DB00549	DB00682
DB00246	DB01251
DB01232	DB06605
DB00484	DB00486
DB00214	DB00452
DB06287	DB09118
DB00872	DB00909
DB00996	DB01017
DB00841	DB01223
DB00285	DB00767
DB00250	DB09073
DB00503	DB00726
DB00387	DB09271
DB00196	DB05521
DB00268	DB00949
DB00370	DB00575
DB00515	DB00903
DB00615	DB00976
DB00690	DB01232
DB00412	DB01609
DB01320	DB01558
DB00956	DB00967
DB00672	DB01264
DB00881	DB01143
DB00396	DB06589
DB00862	DB01359
DB01278	DB02901
DB00479	DB01111
DB00765	DB04841
DB00450	DB00737
DB00969	DB09054
DB00820	DB00925
DB00391	DB04946
DB00343	DB01392
DB00054	DB01296
DB00327	DB06201
DB01167	DB01591
DB00366	DB00593
DB01142	DB06201
DB00651	DB01558
DB00623	DB00715
DB08820	DB09063
DB00381	DB00661
DB00112	DB00363
DB00949	DB09054
DB09053	DB11095
DB00252	DB01072
DB00622	DB09407
DB00091	DB01204
DB01193	DB01235
DB00063	DB11133
DB00893	DB01165
DB01220	DB05812
DB00082	DB00813
DB00615	DB09128
DB00497	DB00611
DB05239	DB06273
DB01073	DB01656
DB00539	DB00582
DB04855	DB09048
DB00387	DB00543
DB04272	DB09079
DB00374	DB09477
DB00717	DB04908
DB00333	DB00673
DB00762	DB06589
DB00307	DB08815
DB00715	DB01623
DB00425	DB01192
DB00264	DB08896
DB00215	DB00933
DB00619	DB01167
DB00707	DB00755
DB00528	DB01174
DB01219	DB01254
DB00220	DB00865
DB00220	DB09071
DB00619	DB01201
DB00374	DB06779
DB00086	DB00472
DB00588	DB09271
DB00349	DB00679
DB00282	DB00814
DB00374	DB00571
DB00559	DB08895
DB00559	DB00726
DB01017	DB01072
DB00252	DB01591
DB00641	DB06210
DB00910	DB09065
DB00413	DB00555
DB01268	DB01656
DB00215	DB00934
DB00334	DB01120
DB01059	DB09268
DB00237	DB00366
DB00674	DB08895
DB00082	DB09043
DB00214	DB01355
DB00457	DB04861
DB00193	DB00813
DB01238	DB09118
DB00708	DB01158
DB00604	DB00677
DB00220	DB00608
DB00418	DB00726
DB00422	DB00457
DB01035	DB01118
DB00433	DB01069
DB00932	DB01244
DB00187	DB00633
DB00834	DB08895
DB00014	DB00715
DB00078	DB06779
DB00321	DB00784
DB00289	DB01579
DB00625	DB00682
DB00919	DB01133
DB01320	DB08815
DB00273	DB00455
DB00241	DB00871
DB00175	DB01167
DB00823	DB08907
DB00185	DB00382
DB00186	DB06283
DB00042	DB00321
DB00628	DB00898
DB01233	DB01247
DB00860	DB00912
DB01158	DB01203
DB00401	DB00615
DB00220	DB00648
DB00673	DB00813
DB00206	DB06700
DB00620	DB08914
DB00669	DB01100
DB00752	DB00918
DB00814	DB09063
DB00199	DB00862
DB01173	DB08872
DB00564	DB06414
DB00204	DB00384
DB00830	DB11124
DB00903	DB00945
DB00450	DB00660
DB00623	DB01069
DB00031	DB00715
DB01263	DB08864
DB00382	DB04843
DB00201	DB00723
DB00334	DB01560
DB00484	DB01018
DB00831	DB01609
DB00321	DB00938
DB00081	DB08918
DB00497	DB00752
DB00374	DB00945
DB01365	DB01620
DB01219	DB01244
DB05246	DB05271
DB06626	DB06717
DB00651	DB00983
DB00327	DB05271
DB01072	DB09036
DB00007	DB00738
DB00619	DB09065
DB00186	DB00477
DB00176	DB00404
DB00246	DB01037
DB00201	DB09295
DB00563	DB00607
DB00035	DB00861
DB00136	DB08912
DB00723	DB01576
DB01126	DB08873
DB00985	DB08893
DB00458	DB01063
DB00108	DB00428
DB00601	DB00938
DB00862	DB09063
DB00728	DB01082
DB01234	DB01319
DB01100	DB01167
DB00211	DB01223
DB00582	DB08877
DB01124	DB06825
DB00457	DB00474
DB00193	DB00850
DB00013	DB00758
DB00222	DB01403
DB00476	DB04899
DB00188	DB08880
DB00177	DB00633
DB00222	DB09214
DB00393	DB00648
DB00673	DB05109
DB00476	DB04920
DB00796	DB00820
DB01264	DB09102
DB00273	DB01144
DB00337	DB09547
DB00440	DB08912
DB00370	DB01247
DB00477	DB01171
DB00425	DB01589
DB00780	DB06148
DB00263	DB01054
DB00425	DB09118
DB00557	DB00625
DB00374	DB09075
DB00182	DB01463
DB01254	DB06237
DB00104	DB09063
DB00206	DB00972
DB00246	DB00486
DB00310	DB00327
DB00563	DB00784
DB00295	DB00484
DB00252	DB00413
DB00983	DB00988
DB00086	DB11095
DB00912	DB06788
DB00201	DB05039
DB00321	DB00961
DB01600	DB04865
DB04844	DB05271
DB05521	DB06335
DB00880	DB00898
DB00661	DB05812
DB00413	DB01351
DB00246	DB08907
DB01656	DB08879
DB00237	DB00555
DB01053	DB01172
DB00366	DB09118
DB00040	DB01100
DB00295	DB09290
DB00356	DB08883
DB00390	DB06414
DB00215	DB09053
DB00790	DB09276
DB00418	DB00880
DB00273	DB11315
DB00745	DB01211
DB00688	DB01602
DB00454	DB00752
DB01142	DB01356
DB00794	DB05271
DB00682	DB00689
DB04938	DB09054
DB00601	DB06288
DB01288	DB01620
DB00313	DB00503
DB00648	DB08864
DB00180	DB00880
DB00933	DB06700
DB00280	DB00414
DB01222	DB01609
DB00030	DB01238
DB00007	DB08882
DB00177	DB00316
DB00220	DB09049
DB01212	DB03615
DB00601	DB01365
DB00035	DB00682
DB00382	DB00420
DB00762	DB08820
DB01275	DB09242
DB00455	DB00557
DB00030	DB01590
DB01418	DB06271
DB00414	DB00741
DB00371	DB00470
DB00266	DB01399
DB00046	DB06292
DB00072	DB05773
DB00972	DB09300
DB00413	DB04953
DB01018	DB01254
DB04844	DB05812
DB00199	DB09079
DB00186	DB01403
DB01143	DB08822
DB01253	DB01263
DB00484	DB00489
DB06273	DB08865
DB00182	DB00458
DB00758	DB01118
DB00091	DB00529
DB00425	DB00924
DB01101	DB06688
DB00474	DB00966
DB00714	DB01156
DB00409	DB00715
DB00448	DB01133
DB00552	DB01097
DB01558	DB05271
DB00557	DB00985
DB00280	DB00559
DB00356	DB00450
DB00181	DB00349
DB00176	DB01037
DB00334	DB01307
DB00374	DB00489
DB09071	DB09072
DB00222	DB00999
DB06695	DB06779
DB00524	DB00734
DB00176	DB01398
DB00254	DB00607
DB00945	DB09030
DB06207	DB09054
DB00199	DB00559
DB01119	DB06335
DB01221	DB09280
DB00633	DB06704
DB00343	DB00813
DB00794	DB01214
DB00331	DB00794
DB00470	DB00899
DB00433	DB00599
DB00678	DB09036
DB00054	DB00367
DB08899	DB09036
DB00374	DB00586
DB00344	DB00391
DB00206	DB01220
DB00159	DB00784
DB00252	DB06772
DB05246	DB06148
DB00712	DB08976
DB00444	DB01097
DB01037	DB09209
DB00452	DB00493
DB00436	DB00854
DB00470	DB01319
DB06724	DB09101
DB00862	DB01023
DB00757	DB00834
DB00252	DB01171
DB00460	DB00999
DB00022	DB00317
DB00381	DB01174
DB00512	DB00803
DB00316	DB01407
DB01264	DB06287
DB00333	DB01559
DB00980	DB09117
DB00343	DB01624
DB00451	DB09210
DB00244	DB01129
DB01076	DB08870
DB00441	DB01656
DB01075	DB08897
DB00498	DB00554
DB00206	DB01104
DB00427	DB00598
DB00193	DB01264
DB00014	DB00188
DB06273	DB09083
DB00530	DB08933
DB00046	DB00887
DB00747	DB06201
DB00708	DB09117
DB01088	DB09242
DB00678	DB01235
DB00884	DB01351
DB00472	DB00974
DB00070	DB01294
DB00313	DB00420
DB00412	DB01241
DB00290	DB09560
DB01201	DB04841
DB00877	DB09036
DB08873	DB09123
DB00294	DB00672
DB00328	DB00955
DB00696	DB06288
DB04855	DB08827
DB00186	DB01202
DB00444	DB09073
DB00584	DB01395
DB00648	DB00990
DB00682	DB01225
DB00208	DB01181
DB00457	DB01074
DB00312	DB05271
DB00263	DB00780
DB06283	DB08883
DB01001	DB06711
DB00243	DB01254
DB00030	DB00396
DB00108	DB00544
DB00468	DB00661
DB00653	DB00710
DB00628	DB00715
DB00864	DB09033
DB00681	DB01082
DB00334	DB09042
DB01063	DB01356
DB01268	DB06688
DB00908	DB00997
DB01353	DB09038
DB01045	DB08881
DB00501	DB01101
DB01097	DB06589
DB00697	DB01158
DB01054	DB11126
DB00006	DB09053
DB00708	DB01214
DB00414	DB04839
DB00344	DB00382
DB01016	DB01045
DB00082	DB06335
DB05812	DB09118
DB00041	DB00214
DB00335	DB01119
DB00042	DB00387
DB00559	DB00908
DB00315	DB00767
DB00921	DB01069
DB00750	DB01438
DB00266	DB00446
DB01242	DB01624
DB00268	DB00475
DB00250	DB06697
DB00682	DB00736
DB00279	DB00321
DB01224	DB09072
DB00252	DB01263
DB00615	DB01115
DB00273	DB00393
DB00745	DB00872
DB00486	DB00737
DB00277	DB00841
DB01591	DB06290
DB00047	DB01395
DB00776	DB00999
DB00035	DB00956
DB00673	DB00921
DB00586	DB01225
DB01132	DB01241
DB00215	DB00726
DB00557	DB01621
DB06290	DB08933
DB00204	DB01211
DB00252	DB00520
DB00220	DB01234
DB00409	DB00696
DB00425	DB01075
DB00206	DB00248
DB00252	DB01080
DB00862	DB06414
DB00605	DB01093
DB00232	DB00295
DB00738	DB02901
DB01356	DB01579
DB00945	DB01268
DB00985	DB05271
DB05773	DB06643
DB00440	DB01029
DB00820	DB05521
DB00641	DB01039
DB00794	DB09119
DB00374	DB00975
DB01136	DB05812
DB00557	DB01018
DB00040	DB00283
DB00238	DB00559
DB00626	DB00994
DB01020	DB02703
DB00678	DB00780
DB01072	DB01394
DB00521	DB01355
DB01009	DB08976
DB00214	DB00732
DB00484	DB00653
DB00327	DB01173
DB00186	DB00575
DB00607	DB00684
DB00949	DB01254
DB00736	DB00893
DB00307	DB00425
DB00252	DB01579
DB00774	DB00956
DB00315	DB01178
DB00458	DB00508
DB00014	DB01189
DB01015	DB08914
DB00215	DB00753
DB01222	DB09073
DB00425	DB00897
DB01036	DB01167
DB00468	DB08822
DB00689	DB01032
DB00605	DB01275
DB00359	DB00721
DB00112	DB01204
DB00191	DB00433
DB00460	DB08976
DB00668	DB06706
DB01174	DB08933
DB00930	DB09545
DB00381	DB01377
DB00482	DB01275
DB00607	DB00682
DB00615	DB06817
DB00266	DB00717
DB00361	DB08820
DB06144	DB09097
DB00031	DB00215
DB00500	DB00682
DB00391	DB00972
DB01072	DB06290
DB00762	DB04868
DB01579	DB06144
DB01142	DB08893
DB00282	DB00784
DB00968	DB01168
DB00829	DB01232
DB00086	DB01600
DB00458	DB00653
DB00661	DB06695
DB00091	DB00573
DB00893	DB01390
DB06290	DB06789
DB00108	DB00928
DB00373	DB01355
DB00333	DB00648
DB00337	DB08865
DB00752	DB05278
DB00104	DB01624
DB00569	DB06700
DB01577	DB09273
DB00737	DB01021
DB00999	DB06203
DB01173	DB08897
DB00401	DB01235
DB00126	DB01255
DB00182	DB01242
DB00214	DB00492
DB00648	DB01167
DB01219	DB08820
DB00349	DB00450
DB00054	DB01109
DB01114	DB08893
DB00991	DB01207
DB00072	DB00970
DB00295	DB00726
DB00445	DB00531
DB00465	DB01225
DB00231	DB00470
DB00268	DB01069
DB00395	DB00715
DB00595	DB06724
DB00653	DB01045
DB00951	DB09256
DB00641	DB06414
DB00472	DB00502
DB00912	DB01208
DB00734	DB06201
DB06688	DB09054
DB00679	DB01577
DB00831	DB00953
DB00557	DB04841
DB00615	DB00635
DB00014	DB01182
DB00304	DB01251
DB00752	DB04842
DB00865	DB00933
DB00310	DB00820
DB00976	DB06684
DB01149	DB09074
DB00458	DB01012
DB00542	DB00877
DB00661	DB01398
DB00333	DB01558
DB00201	DB00465
DB02703	DB09082
DB00681	DB01380
DB00252	DB00951
DB01142	DB01173
DB00059	DB06688
DB00086	DB06228
DB00304	DB00374
DB01247	DB01409
DB01248	DB02703
DB00437	DB00672
DB00163	DB00465
DB01166	DB06290
DB00211	DB06714
DB01200	DB09073
DB01041	DB01068
DB00881	DB04884
DB00029	DB06441
DB00310	DB00715
DB01418	DB09056
DB00584	DB01021
DB01175	DB01418
DB00356	DB09117
DB00745	DB09053
DB00201	DB00774
DB01241	DB04951
DB00752	DB01158
DB00163	DB06700
DB00584	DB08907
DB00820	DB01174
DB00450	DB04908
DB00601	DB04842
DB00501	DB00706
DB06207	DB09118
DB00310	DB00318
DB00540	DB01323
DB00213	DB00220
DB00244	DB01390
DB01195	DB09294
DB00672	DB00734
DB00959	DB01045
DB00031	DB01050
DB00202	DB00545
DB01038	DB01175
DB06415	DB09063
DB00040	DB00334
DB00564	DB00648
DB01210	DB09063
DB06589	DB08895
DB06700	DB09241
DB00622	DB08912
DB01174	DB04951
DB00476	DB01612
DB00186	DB00427
DB00673	DB00687
DB00470	DB04953
DB00889	DB04896
DB00393	DB00607
DB00661	DB09039
DB03619	DB04896
DB00091	DB00991
DB00835	DB01577
DB00955	DB01339
DB00182	DB01223
DB00252	DB09128
DB01211	DB01244
DB00227	DB08816
DB00391	DB09128
DB00199	DB00414
DB00468	DB00881
DB00627	DB01098
DB00328	DB01207
DB00673	DB06287
DB00622	DB06218
DB05521	DB09034
DB00401	DB06414
DB00331	DB01601
DB00327	DB01560
DB00909	DB01173
DB00554	DB01082
DB00682	DB01131
DB06201	DB08910
DB00748	DB08893
DB00333	DB00872
DB00503	DB08865
DB01016	DB04339
DB01198	DB09065
DB00391	DB00472
DB00121	DB00266
DB00318	DB06791
DB00732	DB03615
DB00912	DB01319
DB01579	DB01618
DB00972	DB08893
DB00220	DB00615
DB01023	DB08935
DB00700	DB01149
DB00694	DB08895
DB01118	DB09274
DB00418	DB00446
DB05676	DB08912
DB00503	DB00603
DB01355	DB09038
DB00503	DB09075
DB00241	DB00661
DB00334	DB01041
DB00683	DB01403
DB00387	DB00924
DB01032	DB01414
DB00343	DB01323
DB00180	DB00619
DB00508	DB00696
DB00603	DB01120
DB00691	DB00806
DB00072	DB04868
DB00749	DB09026
DB01024	DB01165
DB00387	DB00497
DB00674	DB00732
DB01403	DB06288
DB00193	DB00594
DB00425	DB06216
DB00472	DB01178
DB00378	DB06754
DB00762	DB00794
DB00457	DB00996
DB01062	DB08893
DB01097	DB06372
DB05812	DB09036
DB06212	DB08820
DB00285	DB09036
DB00897	DB01323
DB00726	DB06808
DB00741	DB01656
DB01167	DB09053
DB00446	DB04817
DB08895	DB09547
DB01207	DB06692
DB00206	DB01233
DB00009	DB00573
DB00211	DB00598
DB00404	DB00932
DB00951	DB06723
DB00014	DB01356
DB00007	DB00344
DB00220	DB00708
DB00582	DB09065
DB00375	DB00571
DB00327	DB09290
DB00559	DB00997
DB00622	DB09036
DB00363	DB00763
DB00951	DB09274
DB00335	DB04855
DB00338	DB01320
DB01267	DB01356
DB00159	DB00977
DB01234	DB08816
DB00908	DB09075
DB00851	DB08895
DB00316	DB00816
DB00413	DB09118
DB00575	DB00734
DB01238	DB01309
DB00490	DB09034
DB00246	DB06201
DB00946	DB01109
DB00976	DB06176
DB00218	DB00364
DB01001	DB01556
DB00974	DB01307
DB00794	DB09074
DB00530	DB08820
DB00295	DB01151
DB00343	DB01355
DB01207	DB08813
DB00285	DB01463
DB01106	DB06148
DB00187	DB00794
DB00334	DB00924
DB00031	DB00054
DB00031	DB06209
DB00472	DB00679
DB00484	DB01224
DB00794	DB04855
DB00373	DB00752
DB09079	DB11095
DB00163	DB06684
DB00780	DB00925
DB00007	DB01200
DB00603	DB06203
DB00196	DB01184
DB00350	DB01072
DB00490	DB01178
DB00490	DB00508
DB00619	DB01181
DB00476	DB01063
DB00540	DB00816
DB00371	DB00486
DB00687	DB01264
DB00273	DB00564
DB00081	DB06779
DB00181	DB00497
DB00277	DB01357
