,Drug1_ID,Drug2_ID,label
338,DB00269,DB06413,1
339,DB00492,DB01390,1
340,DB00404,DB01223,1
341,DB00656,DB06144,1
342,DB00976,DB01590,1
343,DB01211,DB08870,1
344,DB09053,DB09118,1
345,DB00331,DB00780,1
346,DB00356,DB00715,1
347,DB04946,DB09117,1
348,DB00503,DB00802,1
349,DB00831,DB01560,1
350,DB00909,DB09036,1
351,DB00178,DB00862,1
352,DB00615,DB09063,1
353,DB00697,DB01241,1
354,DB00806,DB00999,1
355,DB01076,DB01609,1
356,DB00334,DB00486,1
357,DB00318,DB01012,1
358,DB00393,DB01319,1
359,DB00266,DB01142,1
360,DB00042,DB00083,1
361,DB00977,DB08794,1
362,DB00749,DB01609,1
363,DB00675,DB00679,1
364,DB00484,DB06204,1
365,DB00889,DB01142,1
366,DB00898,DB00915,1
367,DB00872,DB01100,1
368,DB01323,DB04855,1
369,DB00224,DB01215,1
370,DB00945,DB01175,1
371,DB00065,DB00072,1
372,DB00465,DB00687,1
373,DB00662,DB08897,1
374,DB00304,DB06271,1
375,DB00512,DB08976,1
376,DB01206,DB01238,1
377,DB00741,DB00930,1
378,DB04868,DB09083,1
379,DB00790,DB00945,1
380,DB01095,DB11354,1
381,DB00674,DB01063,1
382,DB00334,DB01367,1
383,DB08918,DB09042,1
384,DB00387,DB01403,1
385,DB00956,DB09119,1
386,DB00196,DB06702,1
387,DB00041,DB00177,1
388,DB00343,DB04908,1
389,DB00321,DB01067,1
390,DB00337,DB06772,1
391,DB00358,DB00648,1
392,DB00682,DB00713,1
393,DB00472,DB00477,1
394,DB00436,DB01232,1
395,DB00325,DB00806,1
396,DB00186,DB00972,1
397,DB01203,DB01235,1
398,DB00328,DB00700,1
399,DB00758,DB01054,1
400,DB00091,DB01353,1
401,DB00477,DB01151,1
402,DB00422,DB00682,1
403,DB00686,DB00758,1
404,DB01111,DB01172,1
405,DB00816,DB06704,1
406,DB00976,DB09049,1
407,DB00277,DB00983,1
408,DB00379,DB00831,1
409,DB01156,DB01242,1
410,DB00450,DB01192,1
411,DB01211,DB08873,1
412,DB00484,DB00754,1
413,DB00294,DB09280,1
414,DB00204,DB00215,1
415,DB02703,DB06626,1
416,DB00872,DB06684,1
417,DB01238,DB08816,1
418,DB00705,DB06414,1
419,DB00268,DB01621,1
420,DB00682,DB02546,1
421,DB00086,DB01175,1
422,DB00980,DB01045,1
423,DB00884,DB03615,1
424,DB01365,DB11124,1
425,DB00196,DB00530,1
426,DB00346,DB00519,1
427,DB00318,DB00421,1
428,DB00187,DB00474,1
429,DB00559,DB00628,1
430,DB00073,DB01656,1
431,DB00042,DB00835,1
432,DB00263,DB00682,1
433,DB00543,DB06704,1
434,DB00549,DB00682,1
435,DB00246,DB01251,1
436,DB01232,DB06605,1
437,DB00484,DB00486,1
438,DB00214,DB00452,1
439,DB06287,DB09118,1
440,DB00996,DB01017,1
441,DB00841,DB01223,1
442,DB00250,DB09073,1
443,DB00387,DB09271,1
444,DB00370,DB00575,1
445,DB00615,DB00976,1
446,DB00690,DB01232,1
447,DB00412,DB01609,1
448,DB00672,DB01264,1
449,DB00396,DB06589,1
450,DB01278,DB02901,1
451,DB00765,DB04841,1
452,DB00969,DB09054,1
453,DB00343,DB01392,1
454,DB00054,DB01296,1
455,DB00327,DB06201,1
456,DB00366,DB00593,1
457,DB01142,DB06201,1
458,DB00651,DB01558,1
459,DB08820,DB09063,1
460,DB00381,DB00661,1
461,DB00949,DB09054,1
462,DB09053,DB11095,1
463,DB00622,DB09407,1
464,DB00091,DB01204,1
465,DB01193,DB01235,1
466,DB00893,DB01165,1
467,DB01220,DB05812,1
468,DB00082,DB00813,1
469,DB00615,DB09128,1
470,DB00497,DB00611,1
471,DB05239,DB06273,1
472,DB01073,DB01656,1
473,DB00539,DB00582,1
474,DB00387,DB00543,1
475,DB00374,DB09477,1
476,DB00333,DB00673,1
477,DB00762,DB06589,1
478,DB00715,DB01623,1
479,DB00425,DB01192,1
480,DB00264,DB08896,1
481,DB00215,DB00933,1
482,DB00619,DB01167,1
483,DB00528,DB01174,1
484,DB01219,DB01254,1
485,DB00220,DB00865,1
486,DB00619,DB01201,1
487,DB00374,DB06779,1
488,DB00086,DB00472,1
489,DB00588,DB09271,1
490,DB00349,DB00679,1
491,DB00559,DB00726,1
492,DB01017,DB01072,1
493,DB00252,DB01591,1
494,DB00641,DB06210,1
495,DB00910,DB09065,1
496,DB00413,DB00555,1
497,DB01268,DB01656,1
498,DB00215,DB00934,1
499,DB01059,DB09268,1
500,DB00237,DB00366,1
501,DB00674,DB08895,1
502,DB00082,DB09043,1
503,DB00214,DB01355,1
504,DB00193,DB00813,1
505,DB01238,DB09118,1
506,DB00604,DB00677,1
507,DB00422,DB00457,1
508,DB01035,DB01118,1
509,DB00433,DB01069,1
510,DB00932,DB01244,1
511,DB00187,DB00633,1
512,DB00014,DB00715,1
513,DB00078,DB06779,1
514,DB00321,DB00784,1
515,DB00625,DB00682,1
516,DB01320,DB08815,1
517,DB00241,DB00871,1
518,DB00823,DB08907,1
519,DB00185,DB00382,1
520,DB00186,DB06283,1
521,DB00042,DB00321,1
522,DB00628,DB00898,1
523,DB01233,DB01247,1
524,DB00860,DB00912,1
525,DB01158,DB01203,1
526,DB00673,DB00813,1
527,DB00814,DB09063,1
528,DB00199,DB00862,1
529,DB01173,DB08872,1
530,DB00564,DB06414,1
531,DB00204,DB00384,1
532,DB00830,DB11124,1
533,DB00450,DB00660,1
534,DB00031,DB00715,1
535,DB01263,DB08864,1
536,DB00382,DB04843,1
537,DB00201,DB00723,1
538,DB00334,DB01560,1
539,DB00321,DB00938,1
540,DB00081,DB08918,1
541,DB00374,DB00945,1
542,DB01365,DB01620,1
543,DB05246,DB05271,1
544,DB06626,DB06717,1
545,DB00651,DB00983,1
546,DB00327,DB05271,1
547,DB00007,DB00738,1
548,DB00619,DB09065,1
549,DB00186,DB00477,1
550,DB00176,DB00404,1
551,DB00246,DB01037,1
552,DB00563,DB00607,1
553,DB00723,DB01576,1
554,DB00108,DB00428,1
555,DB00601,DB00938,1
556,DB00862,DB09063,1
557,DB01234,DB01319,1
558,DB01100,DB01167,1
559,DB00582,DB08877,1
560,DB01124,DB06825,1
561,DB00457,DB00474,1
562,DB00193,DB00850,1
563,DB00013,DB00758,1
564,DB00222,DB01403,1
565,DB00476,DB04899,1
566,DB00188,DB08880,1
567,DB00222,DB09214,1
568,DB00393,DB00648,1
569,DB00673,DB05109,1
570,DB00476,DB04920,1
571,DB00796,DB00820,1
572,DB01264,DB09102,1
573,DB00273,DB01144,1
574,DB00440,DB08912,1
575,DB00370,DB01247,1
576,DB00477,DB01171,1
577,DB00780,DB06148,1
578,DB00263,DB01054,1
579,DB00425,DB09118,1
580,DB00557,DB00625,1
581,DB00374,DB09075,1
582,DB00182,DB01463,1
583,DB00104,DB09063,1
584,DB00206,DB00972,1
585,DB00310,DB00327,1
586,DB00295,DB00484,1
587,DB00252,DB00413,1
588,DB00086,DB11095,1
589,DB00201,DB05039,1
590,DB01600,DB04865,1
591,DB04844,DB05271,1
592,DB05521,DB06335,1
593,DB00880,DB00898,1
594,DB00661,DB05812,1
595,DB00413,DB01351,1
596,DB01656,DB08879,1
597,DB00237,DB00555,1
598,DB01053,DB01172,1
599,DB00366,DB09118,1
600,DB00040,DB01100,1
601,DB00295,DB09290,1
602,DB00356,DB08883,1
603,DB00390,DB06414,1
604,DB00215,DB09053,1
605,DB00790,DB09276,1
606,DB00418,DB00880,1
607,DB00273,DB11315,1
608,DB00745,DB01211,1
609,DB00688,DB01602,1
610,DB00454,DB00752,1
611,DB01142,DB01356,1
612,DB00794,DB05271,1
613,DB00682,DB00689,1
614,DB04938,DB09054,1
615,DB00601,DB06288,1
616,DB01288,DB01620,1
617,DB00648,DB08864,1
618,DB00180,DB00880,1
619,DB00933,DB06700,1
620,DB01222,DB01609,1
621,DB00030,DB01238,1
622,DB00007,DB08882,1
623,DB00177,DB00316,1
624,DB00220,DB09049,1
625,DB00601,DB01365,1
626,DB00382,DB00420,1
627,DB00762,DB08820,1
628,DB01275,DB09242,1
629,DB00455,DB00557,1
630,DB01418,DB06271,1
631,DB00371,DB00470,1
632,DB00266,DB01399,1
633,DB00046,DB06292,1
634,DB00972,DB09300,1
635,DB00413,DB04953,1
636,DB00199,DB09079,1
637,DB01143,DB08822,1
638,DB01253,DB01263,1
639,DB00484,DB00489,1
640,DB06273,DB08865,1
641,DB00182,DB00458,1
642,DB00091,DB00529,1
643,DB00425,DB00924,1
644,DB01101,DB06688,1
645,DB00474,DB00966,1
646,DB00714,DB01156,1
647,DB00409,DB00715,1
648,DB00448,DB01133,1
649,DB00552,DB01097,1
650,DB01558,DB05271,1
651,DB00557,DB00985,1
652,DB00280,DB00559,1
653,DB00181,DB00349,1
654,DB00334,DB01307,1
655,DB00374,DB00489,1
656,DB06695,DB06779,1
657,DB00524,DB00734,1
658,DB00176,DB01398,1
659,DB00254,DB00607,1
660,DB00945,DB09030,1
661,DB06207,DB09054,1
662,DB00199,DB00559,1
663,DB01119,DB06335,1
664,DB01221,DB09280,1
665,DB00633,DB06704,1
666,DB00794,DB01214,1
667,DB00331,DB00794,1
668,DB00433,DB00599,1
669,DB00054,DB00367,1
670,DB00159,DB00784,1
671,DB05246,DB06148,1
672,DB00712,DB08976,1
673,DB00452,DB00493,1
674,DB00436,DB00854,1
675,DB00470,DB01319,1
676,DB06724,DB09101,1
677,DB00862,DB01023,1
678,DB00252,DB01171,1
679,DB00460,DB00999,1
680,DB00022,DB00317,1
681,DB00381,DB01174,1
682,DB00512,DB00803,1
683,DB00316,DB01407,1
684,DB00980,DB09117,1
685,DB00343,DB01624,1
686,DB00451,DB09210,1
687,DB00244,DB01129,1
688,DB01076,DB08870,1
689,DB00441,DB01656,1
690,DB01075,DB08897,1
691,DB00427,DB00598,1
692,DB00193,DB01264,1
693,DB00014,DB00188,1
694,DB06273,DB09083,1
695,DB00530,DB08933,1
696,DB00708,DB09117,1
697,DB00678,DB01235,1
698,DB00884,DB01351,1
699,DB00472,DB00974,1
700,DB00313,DB00420,1
701,DB00412,DB01241,1
702,DB00290,DB09560,1
703,DB01201,DB04841,1
704,DB08873,DB09123,1
705,DB00294,DB00672,1
706,DB00328,DB00955,1
707,DB00696,DB06288,1
708,DB04855,DB08827,1
709,DB00186,DB01202,1
710,DB00444,DB09073,1
711,DB00648,DB00990,1
712,DB00682,DB01225,1
713,DB00208,DB01181,1
714,DB00457,DB01074,1
715,DB00312,DB05271,1
716,DB06283,DB08883,1
717,DB01001,DB06711,1
718,DB00030,DB00396,1
719,DB00468,DB00661,1
720,DB00864,DB09033,1
721,DB00681,DB01082,1
722,DB00334,DB09042,1
723,DB01063,DB01356,1
724,DB01268,DB06688,1
725,DB00908,DB00997,1
726,DB01353,DB09038,1
727,DB01045,DB08881,1
728,DB00501,DB01101,1
729,DB01097,DB06589,1
730,DB00697,DB01158,1
731,DB00708,DB01214,1
732,DB01016,DB01045,1
733,DB05812,DB09118,1
734,DB00041,DB00214,1
735,DB00335,DB01119,1
736,DB00042,DB00387,1
737,DB00559,DB00908,1
738,DB00315,DB00767,1
739,DB00266,DB00446,1
740,DB01242,DB01624,1
741,DB00250,DB06697,1
742,DB00682,DB00736,1
743,DB00279,DB00321,1
744,DB01224,DB09072,1
745,DB00252,DB01263,1
746,DB00615,DB01115,1
747,DB00273,DB00393,1
748,DB00745,DB00872,1
749,DB00486,DB00737,1
750,DB00277,DB00841,1
751,DB01591,DB06290,1
752,DB00776,DB00999,1
753,DB00035,DB00956,1
754,DB00673,DB00921,1
755,DB01132,DB01241,1
756,DB00557,DB01621,1
757,DB00204,DB01211,1
758,DB00252,DB00520,1
759,DB00220,DB01234,1
760,DB00409,DB00696,1
761,DB00425,DB01075,1
762,DB00206,DB00248,1
763,DB00862,DB06414,1
764,DB00605,DB01093,1
765,DB00232,DB00295,1
766,DB00738,DB02901,1
767,DB01356,DB01579,1
768,DB00945,DB01268,1
769,DB00985,DB05271,1
770,DB00820,DB05521,1
771,DB00641,DB01039,1
772,DB00794,DB09119,1
773,DB01136,DB05812,1
774,DB00557,DB01018,1
775,DB00238,DB00559,1
776,DB00626,DB00994,1
777,DB01020,DB02703,1
778,DB01072,DB01394,1
779,DB00521,DB01355,1
780,DB01009,DB08976,1
781,DB00214,DB00732,1
782,DB00186,DB00575,1
783,DB00949,DB01254,1
784,DB00307,DB00425,1
785,DB00458,DB00508,1
786,DB00014,DB01189,1
787,DB00215,DB00753,1
788,DB01222,DB09073,1
789,DB00425,DB00897,1
790,DB01036,DB01167,1
791,DB00468,DB08822,1
792,DB00689,DB01032,1
793,DB00359,DB00721,1
794,DB00112,DB01204,1
795,DB00191,DB00433,1
796,DB00668,DB06706,1
797,DB01174,DB08933,1
798,DB00930,DB09545,1
799,DB00607,DB00682,1
800,DB00615,DB06817,1
801,DB00266,DB00717,1
802,DB00361,DB08820,1
803,DB00031,DB00215,1
804,DB00500,DB00682,1
805,DB00391,DB00972,1
806,DB01579,DB06144,1
807,DB01142,DB08893,1
808,DB00282,DB00784,1
809,DB00829,DB01232,1
810,DB00086,DB01600,1
811,DB00458,DB00653,1
812,DB00091,DB00573,1
813,DB00893,DB01390,1
814,DB06290,DB06789,1
815,DB00373,DB01355,1
816,DB00333,DB00648,1
817,DB00337,DB08865,1
818,DB00752,DB05278,1
819,DB00569,DB06700,1
820,DB01577,DB09273,1
821,DB00999,DB06203,1
822,DB01173,DB08897,1
823,DB00214,DB00492,1
824,DB01219,DB08820,1
825,DB00349,DB00450,1
826,DB00072,DB00970,1
827,DB00295,DB00726,1
828,DB00445,DB00531,1
829,DB00465,DB01225,1
830,DB00231,DB00470,1
831,DB00395,DB00715,1
832,DB00595,DB06724,1
833,DB00653,DB01045,1
834,DB00951,DB09256,1
835,DB00641,DB06414,1
836,DB00472,DB00502,1
837,DB00912,DB01208,1
838,DB00734,DB06201,1
839,DB06688,DB09054,1
840,DB00831,DB00953,1
841,DB00615,DB00635,1
842,DB00014,DB01182,1
843,DB00304,DB01251,1
844,DB00752,DB04842,1
845,DB00310,DB00820,1
846,DB00976,DB06684,1
847,DB01149,DB09074,1
848,DB00458,DB01012,1
849,DB00661,DB01398,1
850,DB00333,DB01558,1
851,DB00201,DB00465,1
852,DB00681,DB01380,1
853,DB00252,DB00951,1
854,DB01142,DB01173,1
855,DB00059,DB06688,1
856,DB00304,DB00374,1
857,DB01247,DB01409,1
858,DB00437,DB00672,1
859,DB00163,DB00465,1
860,DB01166,DB06290,1
861,DB00211,DB06714,1
862,DB01200,DB09073,1
863,DB01041,DB01068,1
864,DB00029,DB06441,1
865,DB00356,DB09117,1
866,DB01241,DB04951,1
867,DB00163,DB06700,1
868,DB00584,DB08907,1
869,DB00601,DB04842,1
870,DB06207,DB09118,1
871,DB00310,DB00318,1
872,DB00540,DB01323,1
873,DB00213,DB00220,1
874,DB00244,DB01390,1
875,DB01195,DB09294,1
876,DB00672,DB00734,1
877,DB00959,DB01045,1
878,DB00564,DB00648,1
879,DB01210,DB09063,1
880,DB06589,DB08895,1
881,DB06700,DB09241,1
882,DB01174,DB04951,1
883,DB00476,DB01612,1
884,DB00673,DB00687,1
885,DB00393,DB00607,1
886,DB00661,DB09039,1
887,DB00835,DB01577,1
888,DB00182,DB01223,1
889,DB00252,DB09128,1
890,DB01211,DB01244,1
891,DB00227,DB08816,1
892,DB00468,DB00881,1
893,DB00627,DB01098,1
894,DB00328,DB01207,1
895,DB00622,DB06218,1
896,DB05521,DB09034,1
897,DB00331,DB01601,1
898,DB00327,DB01560,1
899,DB00554,DB01082,1
900,DB00682,DB01131,1
901,DB06201,DB08910,1
902,DB00748,DB08893,1
903,DB00333,DB00872,1
904,DB00503,DB08865,1
905,DB00391,DB00472,1
906,DB00121,DB00266,1
907,DB00318,DB06791,1
908,DB00732,DB03615,1
909,DB00972,DB08893,1
910,DB00220,DB00615,1
911,DB01023,DB08935,1
912,DB01118,DB09274,1
913,DB00418,DB00446,1
914,DB05676,DB08912,1
915,DB00503,DB09075,1
916,DB00241,DB00661,1
917,DB00334,DB01041,1
918,DB00683,DB01403,1
919,DB00387,DB00924,1
920,DB00343,DB01323,1
921,DB00508,DB00696,1
922,DB00691,DB00806,1
923,DB00072,DB04868,1
924,DB01024,DB01165,1
925,DB00387,DB00497,1
926,DB00193,DB00594,1
927,DB00425,DB06216,1
928,DB00472,DB01178,1
929,DB00378,DB06754,1
930,DB01062,DB08893,1
931,DB01097,DB06372,1
932,DB05812,DB09036,1
933,DB00285,DB09036,1
934,DB00726,DB06808,1
935,DB00741,DB01656,1
936,DB01167,DB09053,1
937,DB00446,DB04817,1
938,DB08895,DB09547,1
939,DB00206,DB01233,1
940,DB00009,DB00573,1
941,DB00404,DB00932,1
942,DB00951,DB06723,1
943,DB00014,DB01356,1
944,DB00007,DB00344,1
945,DB00582,DB09065,1
946,DB00375,DB00571,1
947,DB00327,DB09290,1
948,DB00559,DB00997,1
949,DB00622,DB09036,1
950,DB00951,DB09274,1
951,DB00335,DB04855,1
952,DB00338,DB01320,1
953,DB00159,DB00977,1
954,DB00851,DB08895,1
955,DB00316,DB00816,1
956,DB00413,DB09118,1
957,DB00575,DB00734,1
958,DB01238,DB01309,1
959,DB00490,DB09034,1
960,DB00246,DB06201,1
961,DB00946,DB01109,1
962,DB00976,DB06176,1
963,DB00218,DB00364,1
964,DB00974,DB01307,1
965,DB00794,DB09074,1
966,DB00530,DB08820,1
967,DB00295,DB01151,1
968,DB00343,DB01355,1
969,DB00285,DB01463,1
970,DB01106,DB06148,1
971,DB00187,DB00794,1
972,DB00334,DB00924,1
973,DB00031,DB06209,1
974,DB00472,DB00679,1
975,DB00484,DB01224,1
976,DB00794,DB04855,1
977,DB09079,DB11095,1
978,DB00780,DB00925,1
979,DB00007,DB01200,1
980,DB00196,DB01184,1
981,DB00350,DB01072,1
982,DB00619,DB01181,1
983,DB00540,DB00816,1
984,DB00371,DB00486,1
985,DB00687,DB01264,1
986,DB00273,DB00564,1
987,DB00081,DB06779,1
988,DB00181,DB00497,1
989,DB00277,DB01357,1
990,DB00660,DB09117,1
991,DB00949,DB06335,1
992,DB09030,DB09065,1
993,DB00425,DB00962,1
994,DB00301,DB00563,1
995,DB00176,DB01609,1
996,DB00328,DB00684,1
