#Drug	Gene
DB01393	P08684
DB02262	Q02127
DB02281	Q13126
DB01205	P28472
DB08164	P27487
DB07088	P07477
DB06237	O76074
DB01183	P03372
DB01268	P08684
DB08750	P35228
DB00197	Q9HAW7
DB00674	Q9GZZ6
DB03435	Q7Z4J2
DB03783	P11712
DB00763	P11712
DB05249	Q99062
DB02772	P61626
DB06096	P28222
DB06097	Q02224
DB00543	P48169
DB00642	P04818
DB01241	Q07869
DB00554	P35354
DB00126	Q02809
DB01234	P05108
DB06616	P00519
DB00551	P39900
DB01251	Q15842
DB00333	Q8TCU5
DB00641	P11712
DB03892	P29475
DB00321	P20309
DB04444	P11488
DB00949	P05181
DB01018	P08913
DB01782	Q9UQF2
DB00721	Q01959
DB01159	Q6W5P4
DB06927	P03372
DB01151	P31645
DB06917	P09960
DB00470	P11509
DB00490	P24462
DB07162	O60674
DB00408	P47898
DB00741	P04083
DB02379	P01574
DB00637	P35367
DB01087	P08684
DB09068	P08908
DB00163	P09210
DB07157	P15086
DB00073	P12318
DB00361	P10635
DB01094	P05177
DB01173	Q9Y5Y9
DB02325	O60942
DB01466	P24462
DB00340	P08172
DB02494	P84098
DB05216	P10721
DB00162	Q9NYR8
DB00887	P13569
DB02236	P22102
DB01023	Q9NY47
DB02701	Q9NXA8
DB00489	P07550
DB03149	P23946
DB07330	P09874
DB00549	P23219
DB01162	P25100
DB00019	P08246
DB01189	P47869
DB05676	P01579
DB00568	P20309
DB07479	P06746
DB00441	P32320
DB00078	P31994
DB00509	P07202
DB04741	P31930
DB00502	P21728
DB01363	P07550
DB01403	P35368
DB01435	P05181
DB00157	Q15738
DB01565	O60858
DB00364	P02671
DB00898	P17787
DB05472	P17181
DB00418	P14867
DB02079	P21549
DB02701	P10635
DB03039	P00918
DB06875	Q15788
DB01226	P08172
DB00232	P00915
DB02325	P30793
DB00169	P08684
DB05816	P21728
DB07230	Q15788
DB00171	O14727
DB01065	P05177
DB00356	Q12791
DB01277	P17936
DB00599	P48169
DB01727	Q99798
DB07145	P78536
DB08231	P43080
DB00834	P06401
DB01267	P35348
DB00476	P05177
DB00978	P05177
DB00564	P08684
DB03253	P27487
DB08674	P49356
DB02342	P21964
DB00909	O60939
DB00921	P11712
DB00724	Q9NYK1
DB02701	P00338
DB05435	Q5NUL3
DB08342	Q9Y5R8
DB09570	P33261
DB00458	P35367
DB00794	O14764
DB01149	P20815
DB05469	P35368
DB03516	Q06278
DB06692	P17538
DB07410	O95749
DB04512	Q8WX39
DB00361	P08684
DB00201	Q14573
DB00152	O60779
DB01289	Q15842
DB01221	P11712
DB02404	P22303
DB05295	P11473
DB00398	P10635
DB00531	P08684
DB07406	P49137
DB00973	P08684
DB02266	P42330
DB00078	P02746
DB00724	Q9NR97
DB00977	P03372
DB07597	P11086
DB08289	P01834
DB03680	P23368
DB00349	P78334
DB00926	P48443
DB01411	P05113
DB02661	O43252
DB03721	Q9BZZ2
DB07766	Q00536
DB00569	P01008
DB01873	Q13509
DB06216	P34969
DB00831	P05177
DB00095	P02747
DB00849	P42262
DB01752	Q8WTS6
DB06738	O60656
DB01159	P18505
DB00895	P12319
DB05171	Q9NZ42
DB01236	P47869
DB08818	Q96S86
DB02379	P05162
DB00139	O60568
DB01049	O95264
DB02890	P11172
DB00328	P16662
DB04880	Q14432
DB08437	P62917
DB00171	Q9NUB1
DB03535	P48147
DB07374	P40429
DB06064	Q02156
DB00788	P10632
DB06678	P35367
DB07947	P61925
DB08892	O75899
DB00744	P11712
DB01181	P24462
DB00540	P07550
DB00906	P30531
DB00484	P18825
DB00157	P48163
DB07119	Q15788
DB01589	P14867
DB02767	Q9Y6Y9
DB00734	P35348
DB06707	P23975
DB07014	P49841
DB09102	P08684
DB00091	P30405
DB00480	Q96SW2
DB03193	Q9UNK4
DB03147	P47989
DB00546	P34903
DB01009	P35354
DB05461	P41595
DB01173	P08684
DB01095	P05177
DB03907	P21964
DB01435	P11509
DB01059	P08684
DB00692	P08913
DB05920	P11388
DB07232	P09874
DB01370	P02787
DB00696	P35368
DB00589	P14416
DB00248	P08908
DB07744	P29466
DB01136	P08684
DB07254	P54760
DB04195	P11217
DB04316	P15085
DB05694	P30968
DB01058	P05177
DB07080	Q13133
DB06891	P00918
DB00013	Q03405
DB00400	Q99456
DB01048	P22309
DB04946	P14416
DB01392	P10635
DB00753	P18507
DB06697	P20813
DB00413	P21728
DB00780	P20815
DB00818	P34903
DB01231	P11229
DB08491	P03956
DB00989	P10635
DB08231	O43617
DB00898	P30926
DB01645	Q92731
DB01559	A8MPY1
DB01777	Q16613
DB01174	P05181
DB01562	P10635
DB01892	P23219
DB06869	P00734
DB00454	P33261
DB05168	P15328
DB07974	P00742
DB07441	P01857
DB00052	P10912
DB03127	Q92876
DB06969	P07900
DB06854	P00734
DB04905	P10635
DB01221	P11229
DB08325	Q12866
DB00933	P28223
DB00703	P43166
DB01242	P28223
DB04464	P29377
DB08065	O14965
DB05025	P00441
DB00186	Q8N1C3
DB01077	Q13332
DB03791	P55055
DB01118	Q9NY47
DB08097	Q16539
DB00157	P37059
DB01595	Q9UN88
DB00197	P20813
DB00148	P17540
DB07274	P35968
DB00619	P23219
DB00988	P11712
DB07737	P56817
DB00142	Q9Y646
DB04251	P06276
DB00408	P08588
DB01104	P33261
DB01361	P11712
DB01345	P05023
DB06756	P06276
DB06980	P63208
DB00436	P22748
DB03267	P35558
DB05115	P06213
DB01165	P05177
DB00470	P33261
DB00725	P08172
DB01238	P24462
DB08148	P61925
DB03935	P08758
DB01118	P11509
DB08042	P35968
DB00783	P03372
DB08018	P29475
DB01551	P08684
DB01054	P20815
DB00325	P04798
DB01185	P10275
DB04922	P54289
DB00898	P42262
DB06616	P07948
DB00112	P02746
DB00458	P50406
DB00197	P11474
DB04132	Q04760
DB00377	P08684
DB06204	P33261
DB00334	Q9H3N8
DB01708	P18505
DB05014	P09619
DB02910	P42126
DB00528	P08684
DB00228	Q99928
DB05470	P05231
DB00413	P21917
DB03814	Q9Y468
DB06292	P11712
DB00073	P08637
DB00584	P08684
DB07299	P03951
DB00543	P20309
DB04845	P08684
DB06228	P51589
DB00009	P02671
DB00997	O75489
DB01591	P08912
DB01437	P18505
DB08912	P15056
DB00997	O75306
DB04216	Q6NUS8
DB05075	P35916
DB07763	P07919
DB01267	P28223
DB05311	P03952
DB00710	P14324
DB02562	P00439
DB04476	P80188
DB00514	P36544
DB00334	P13945
DB00157	P00367
DB02696	P15291
DB00342	P51589
DB00641	P16662
DB06825	P30968
DB06204	P10635
DB04953	O43525
DB05812	P08684
DB00126	Q9NVH6
DB00514	P17787
DB01186	P35348
DB00904	P11712
DB00408	P20309
DB01807	Q16539
DB08322	P11217
DB03982	P18031
DB00042	P23763
DB00145	Q14330
DB07712	P03372
DB08907	P13866
DB07529	P24941
DB03070	P12268
DB00916	Q16850
DB00700	P08684
DB05455	P47901
DB01065	Q92753
DB00917	P11511
DB00999	P00915
DB00532	P11712
DB02490	P06732
DB00139	O14756
DB06741	Q8TCU5
DB06603	Q9BY41
DB08918	P33261
DB00758	P05177
DB00837	Q9UBS5
DB01631	P80188
DB01159	Q12791
DB02691	P51161
DB01234	P10635
DB03147	Q9UHQ9
DB00463	Q13002
DB00036	P38435
DB00311	P00918
DB00711	P09917
DB00726	P35368
DB01791	Q08493
DB01359	P08588
DB00334	P28221
DB00363	P18825
DB07456	O15530
DB00398	P36888
DB00412	P37231
DB01026	P05108
DB01238	P46098
DB08403	P22894
DB07530	Q15788
DB00637	P08684
DB00132	O95864
DB00542	P42898
DB00818	P10632
DB06419	P20815
DB00268	P21918
DB00368	P07550
DB01015	P11712
DB00363	P11509
DB00799	P10276
DB00250	P08684
DB00613	P11712
DB03080	P07900
DB00987	P32321
DB01283	P35354
DB06637	Q16322
DB01325	P00915
DB02518	P15121
DB04912	P09601
DB00364	P01133
DB04419	P01270
DB01033	Q06203
DB03670	P18031
DB01204	P05181
DB00363	P14416
DB00445	O14646
DB07471	P24941
DB04653	P07384
DB00334	P11229
DB07106	P50135
DB00039	P21802
DB00192	Q14524
DB00201	O00408
DB06637	Q9NSA2
DB01221	Q8TCU5
DB00611	P41145
DB07598	P42262
DB03814	P04424
DB00250	P23219
DB00343	Q06432
DB00111	P31995
DB07048	P00918
DB00162	Q6NUM9
DB00241	P34903
DB00687	P04150
DB01884	P27487
DB00114	Q6WRI0
DB00586	P09917
DB03159	P07477
DB01418	Q9BQB6
DB07793	P11217
DB01183	P41143
DB01028	P11509
DB00683	P18505
DB08755	P25774
DB04906	Q96LZ3
DB00370	P07550
DB00571	P10635
DB01026	P15538
DB00499	Q16678
DB00139	P53597
DB05387	P39900
DB00188	P11712
DB00988	P21397
DB05194	P15509
DB03509	P09874
DB02067	P34896
DB00829	P33260
DB00145	P23434
DB07749	P17538
DB00768	Q99584
DB08119	P17538
DB07905	P28482
DB08873	P08684
DB00801	P48169
DB00421	P10632
DB01388	Q02641
DB02692	P29474
DB00171	P12235
DB00773	P35354
DB00811	P20839
DB03247	Q9NVS9
DB06655	P43220
DB00972	P11712
DB04021	P22303
DB06853	P00734
DB03672	P06276
DB00920	Q13946
DB00977	O75469
DB05804	P35354
DB00114	Q9Y697
DB00237	Q9UN88
DB00836	P35372
DB01156	P20813
DB03880	Q9UKQ2
DB01201	P24462
DB01601	P08684
DB00246	P08173
DB01497	P41143
DB02407	P24941
DB00852	P15336
DB03374	P61925
DB05900	P08069
DB00363	P35367
DB05467	P13631
DB06282	P08684
DB00157	P51970
DB00943	P08684
DB02010	P43403
DB00270	Q9NY47
DB00683	P34903
DB00349	P31644
DB02322	P13501
DB05921	Q13547
DB00690	Q9UN88
DB01039	P10632
DB02158	Q13126
DB00753	P18505
DB01015	P23219
DB04560	P13716
DB01558	Q8N1C3
DB00321	P35348
DB06713	P06401
DB01174	P11509
DB01275	P08684
DB06413	P05177
DB01109	P00742
DB00412	P10632
DB01049	Q9UN88
DB00177	P11712
DB01245	Q15822
DB03194	P11226
DB00290	P49916
DB00466	P24046
DB04137	P00367
DB01046	P16152
DB01283	P33261
DB00157	P03923
DB00458	P08172
DB00116	O95954
DB02701	P05181
DB01014	P35354
DB00408	P08913
DB08848	P48065
DB01159	Q12879
DB00175	P04035
DB00306	Q9UN88
DB05023	P08069
DB05301	P29466
DB00780	P24298
DB01373	P49747
DB04141	P22695
DB00338	P33260
DB03732	Q10588
DB00818	P33260
DB01205	P34903
DB04325	P07477
DB07102	P09960
DB00690	P78334
DB00713	Q16348
DB00432	P19971
DB00393	P08235
DB01215	A8MPY1
DB00091	P24462
DB01043	P20813
DB00968	P20711
DB02953	P22894
DB06372	P18510
DB00756	O14521
DB00850	P05177
DB00988	P27338
DB01646	P08100
DB00606	P22748
DB00543	P18505
DB01241	P33261
DB09068	P10632
DB01392	P08908
DB01200	P08684
DB07537	P35968
DB00946	P10632
DB00233	P05164
DB07359	P35557
DB08687	Q16665
DB01497	O60858
DB00172	Q99884
DB03596	P00918
DB00311	P22748
DB01149	P24462
DB08897	P08912
DB08846	P00915
DB00142	P00367
DB01915	P01024
DB00349	P28472
DB06741	Q12879
DB04855	P18089
DB06712	P10632
DB01288	P13945
DB00758	P33261
DB00514	P20815
DB04552	P47712
DB08437	Q96L21
DB00620	P06276
DB00151	P49589
DB00114	Q8TD30
DB00289	P31645
DB00904	P08908
DB08149	P17612
DB06616	Q13555
DB03878	P00519
DB00010	Q02643
DB06678	P41595
DB08901	P06239
DB00186	P31644
DB00475	P28472
DB02742	Q9UKM7
DB00734	P24462
DB01110	P05177
DB00798	P98164
DB00276	Q12809
DB00612	P07550
DB09016	P28223
DB01116	Q9GZZ6
DB07508	P00734
DB00813	P41143
DB04001	P18031
DB00801	Q9UN88
DB00788	P22309
DB01577	P21397
DB07067	P27487
DB00871	P06276
DB07519	P56817
DB00582	P20815
DB00092	P31995
DB00143	O43708
DB06694	P25100
DB00030	P07339
DB00849	P47869
DB00228	P18507
DB07037	O14757
DB00814	P23219
DB00898	P48549
DB01791	Q07343
DB00328	P23219
DB05676	Q08499
DB02340	P00488
DB00002	O75015
DB00675	P05129
DB03773	P04746
DB00546	P33261
DB00343	P08684
DB00898	O95264
DB05849	P07550
DB00960	P08908
DB07678	P03372
DB08231	O00206
DB06726	P08588
DB01035	P06276
DB01254	P12931
DB07444	P53355
DB02741	P13631
DB01049	P47869
DB01169	Q16678
DB04829	P08908
DB00690	Q8N1C3
DB00188	O14818
DB01649	Q96C86
DB01119	P00915
DB00917	P43116
DB05146	P35968
DB00119	P36021
DB04896	P23975
DB01129	P04798
DB00186	P47869
DB01742	P62937
DB04786	P23945
DB02670	O60264
DB01049	Q8WXA8
DB01902	Q86YB8
DB04272	O75390
DB01281	P33681
DB00813	P20815
DB00022	P17181
DB01337	P06276
DB07350	Q9BY41
DB01192	P08684
DB07533	P20248
DB00005	P31995
DB00370	P23975
DB03010	Q71U36
DB05429	P51671
DB08916	P04626
DB00703	P10635
DB00157	P16083
DB06716	P47870
DB00393	O00305
DB01946	O15530
DB06741	P11712
DB00988	P35462
DB00075	P09693
DB00334	P07550
DB00142	Q99259
DB06148	P25100
DB01156	P10635
DB00655	Q16678
DB00786	P45452
DB01587	P08684
DB08020	Q92731
DB06957	P07900
DB00531	P10635
DB00909	Q8N1Q1
DB00210	P10826
DB00411	P11229
DB01173	O60391
DB00464	P07225
DB00762	O00748
DB02974	P20813
DB09043	P43220
DB06693	P04035
DB06237	P08684
DB00193	P41143
DB00836	P10635
DB00939	O43525
DB01577	P31645
DB06729	P11509
DB00912	P08684
DB08263	Q9NWT6
DB06692	P00747
DB00852	Q8WYK2
DB08629	P25705
DB08923	P19235
DB00031	P05121
DB00144	Q9NXE4
DB01028	P10635
DB01064	P08588
DB07991	P03372
DB01410	P10635
DB01656	Q08493
DB03404	P02144
DB00983	P33261
DB00503	P20815
DB04076	P00491
DB00851	P04798
DB00200	Q8IVH4
DB00604	P20815
DB01177	P11712
DB04464	P14854
DB00131	P11309
DB00246	P34969
DB01038	P14416
DB08781	O14757
DB00182	P35368
DB00972	P20815
DB00942	P11229
DB04982	P42261
DB07705	Q16850
DB00034	P48551
DB01355	P31644
DB03900	P50579
DB08250	P52732
DB01160	P43088
DB01115	P54289
DB00755	P28702
DB07730	P18031
DB01248	P10415
DB01236	P05181
DB05752	P08173
DB00054	P09871
DB00239	P08684
DB00690	P47869
DB06905	P67775
DB00674	Q9UGM1
DB01159	P78334
DB01708	Q13224
DB00726	P28223
DB02659	P62508
DB06836	P48736
DB01239	P08912
DB00682	P10632
DB01277	P08069
DB08454	Q8IU85
DB00864	P62942
DB00241	P18507
DB03056	P23141
DB01049	P14867
DB04801	Q03181
DB01024	P16662
DB04465	Q9NZD2
DB09330	P08684
DB04315	P22392
DB00384	P51170
DB00324	P08684
DB01558	P14867
DB02198	P23219
DB02464	P07478
DB04847	Q9H6Z9
DB00562	P00918
DB01244	Q9NY47
DB00667	P25021
DB06738	Q12879
DB07780	Q92696
DB01440	P18505
DB06216	P41595
DB00128	P14868
DB05415	O76074
DB01229	P08684
DB00849	P31644
DB04013	P11217
DB01681	P15259
DB03468	P11086
DB00628	P31644
DB06921	P15086
DB00736	P33261
DB01576	P10635
DB00203	Q13956
DB07625	P00749
DB06714	Q05940
DB04495	P12931
DB07698	Q8TF76
DB00501	P10635
DB00420	P20309
DB03956	P51178
DB03341	Q16613
DB02795	P04054
DB00157	Q99714
DB00786	P24347
DB00774	P22748
DB03092	P04745
DB01927	P15559
DB00751	P08684
DB00221	P07550
DB00277	Q92769
DB04272	Q9Y663
DB00999	O43570
DB04106	Q16881
DB01254	P07947
DB00318	P08684
DB01103	O60733
DB03541	P0CG22
DB00938	P07550
DB04894	P35346
DB01156	P23975
DB09079	P21802
DB00321	O43525
DB00062	O60656
DB00934	P05177
DB01355	Q13002
DB07175	P56817
DB07272	Q9UQF2
DB08058	Q9Y6F1
DB01403	P05177
DB00234	P23975
DB00877	P08684
DB00477	P28223
DB00431	P23416
DB02071	P45452
DB03088	Q701N4
DB00935	P08913
DB00960	P10635
DB00157	P23368
DB00918	P05177
DB00472	P05177
DB00898	Q9UGM1
DB00775	P05106
DB00651	Q9NP56
DB00624	Q16696
DB05335	P23219
DB00130	P08243
DB07521	P00734
DB01660	P17600
DB07430	P49137
DB07612	P24941
DB01336	P08172
DB04282	P09848
DB00688	P20839
DB00157	P14679
DB00401	P08684
DB00810	Q15822
DB00688	P16662
DB08569	P17612
DB08179	Q04760
DB01437	Q9UN88
DB04074	O15382
DB02659	P20674
DB00408	P35462
DB07437	Q16831
DB03685	Q9NWZ5
DB00259	P10635
DB00962	P14867
DB04832	P27338
DB00155	Q9ULW8
DB01205	O14764
DB00114	Q96GD0
DB00215	P08684
DB01248	P27816
DB00128	Q12797
DB06973	P62508
DB00157	P00387
DB00172	P62937
DB05787	P05106
DB06127	P27487
DB00312	Q14957
DB01656	Q07343
DB00140	P42898
DB00162	Q8TC12
DB00762	P20815
DB02740	P01850
DB01810	Q9UBX1
DB06216	P10635
DB01708	P78334
DB05744	P22301
DB00992	P12314
DB01138	P20813
DB00997	P35228
DB02398	P00749
DB05867	Q9UNP4
DB00040	P47871
DB01113	Q9Y233
DB06741	Q13224
DB00932	P08684
DB01625	P08173
DB00728	P46098
DB01213	P07327
DB06701	P10635
DB08875	P35968
DB01059	P20815
DB01267	P08684
DB00543	P34969
DB03345	Q04760
DB00231	P11712
DB00015	Q03405
DB00243	Q15858
DB00328	P23141
DB01018	P11712
DB06730	P20815
DB07086	Q15596
DB01268	P09619
DB00678	O75795
DB00313	Q9Y5Y9
DB01015	P18440
DB00078	P11836
DB01280	Q16854
DB04917	P46098
DB01079	P05177
DB01005	P10635
DB00518	P68371
DB00321	P35367
DB02818	P42262
DB00541	P20815
DB02221	P00918
DB00543	P35462
DB07447	P51857
DB00402	P48169
DB07708	P03372
DB00253	P04150
DB00818	O00591
DB00145	O75311
DB01279	O60664
DB00852	Q9Y2D1
DB03536	Q9UBX1
DB00882	P11511
DB01130	P04150
DB01645	P11388
DB05481	P01009
DB04493	P09467
DB06695	O60656
DB00835	P08173
DB07628	P14618
DB00347	P10632
DB01012	P41180
DB00707	P01130
DB01090	P32297
DB01628	P08684
DB08889	P40306
DB00604	P11509
DB01403	P21918
DB01708	P28472
DB07374	Q96L21
DB00586	O43526
DB01200	P34969
DB00134	Q9NZV6
DB04315	Q8N142
DB06042	P07437
DB06716	P05186
DB00659	P47869
DB04714	O95749
DB00721	Q9NPA1
DB07772	P22894
DB03701	P08684
DB06861	P00734
DB00005	P01374
DB00877	P20815
DB00146	P11473
DB00074	P00736
DB00178	P06276
DB08394	P01857
DB00034	P17181
DB01227	P20815
DB01567	Q8N1C3
DB07063	P15121
DB07019	P56817
DB02353	P13501
DB01355	P34903
DB00898	P08319
DB00574	P31645
DB01250	P51580
DB01174	Q05586
DB01028	Q9UN88
DB00564	Q14524
DB00281	Q14524
DB00313	Q15858
DB01215	P18505
DB01174	P13584
DB04315	O60547
DB06697	P11712
DB06926	P37231
DB00763	P08684
DB08596	P07998
DB00936	Q04828
DB00313	P11712
DB01174	P43681
DB00753	P48169
DB08819	P35354
DB00575	P20815
DB00143	O15217
DB00224	P24462
DB00613	P10635
DB02052	P24941
DB06918	P07477
DB00804	P11229
DB02767	O00206
DB07587	P25774
DB00114	O75600
DB01267	P35462
DB07335	P12931
DB07378	P16442
DB00121	Q96RQ3
DB00162	O94788
DB00073	P00736
DB01380	P08684
DB02952	P01303
DB00585	P06276
DB00241	P47869
DB02825	P22303
DB06612	P05113
DB00935	P35368
DB00457	P35348
DB00189	P28472
DB00502	P14416
DB00659	P78334
DB01013	P04150
DB02325	Q13838
DB09143	Q99835
DB00342	P08172
DB00333	P11712
DB00835	P33261
DB00624	Q9HB55
DB03551	P00491
DB00409	Q99720
DB04574	Q92731
DB04599	P42263
DB02379	P02144
DB05423	P04150
DB05812	P05093
DB07584	P31749
DB01063	P21728
DB00715	P11712
DB00458	P05177
DB00333	P41143
DB01182	P05177
DB00862	Q13956
DB03844	P00918
DB04522	Q9UL54
DB01363	P08588
DB00765	P07101
DB00408	Q01959
DB01577	P10635
DB06274	P35372
DB08927	P28223
DB00157	P04406
DB00550	P07202
DB07139	P15121
DB08899	P10275
DB01273	P36544
DB00119	O60669
DB00177	P30556
DB00820	Q9HCR9
DB00852	P01375
DB01029	P10635
DB01209	P41145
DB01351	P47869
DB05766	P35462
DB04237	P04745
DB08391	Q9Y233
DB06589	Q9UQQ2
DB00312	P18505
DB02073	P30043
DB06148	P20813
DB08696	Q15648
DB00201	Q9NP56
DB00157	Q00796
DB00576	P11712
DB01365	P18089
DB01708	Q8N1C3
DB08954	Q05586
DB09079	P35968
DB00454	O15399
DB01221	P08684
DB05900	P00533
DB00819	P00915
