,Entity_ID
840,1308
841,1310
842,1311
843,1312
844,C0338831
845,1314
846,1316
847,1317
848,1326
849,1327
850,1329
851,C1838990
852,C0235574
853,1337
854,1340
855,1345
856,1346
857,1347
858,C3810326
859,1349
860,1350
861,1351
862,1352
863,1355
864,1356
865,1357
866,1358
867,1361
868,1362
869,1363
870,1364
871,1365
872,1366
873,1368
874,1369
875,1371
876,C1282971
877,1373
878,1374
879,1375
880,1376
881,C0024523
882,1378
883,1380
884,1381
885,1382
886,1385
887,1386
888,1387
889,C0265971
890,1390
891,1392
892,1393
893,1394
894,1395
895,1398
896,1399
897,1400
898,1401
899,1404
900,1406
901,1407
902,1408
903,1409
904,1410
905,1411
906,1412
907,1413
908,1414
909,1415
910,C1835897
911,1417
912,1418
913,1419
914,1420
915,1421
916,100533642
917,1423
918,C3553288
919,1427
920,1428
921,1429
922,1431
923,1432
924,1434
925,1435
926,1436
927,1437
928,1438
929,1439
930,1440
931,1441
932,1442
933,1445
934,1447
935,1448
936,C0268514
937,1452
938,1453
939,1454
940,1457
941,1459
942,1460
943,1462
944,1463
945,1465
946,C1861194
947,1468
948,1469
949,1471
950,1472
951,C4014869
952,1474
953,1475
954,1476
955,C2752038
956,1478
957,C1510489
958,C0034642
959,C3553943
960,1482
961,1487
962,1488
963,1489
964,1490
965,1491
966,C1838601
967,1493
968,1495
969,1496
970,1497
971,C1866504
972,1499
973,1500
974,1501
975,C0268255
976,1503
977,1504
978,C0751584
979,1506
980,1508
981,1509
982,1510
983,1512
984,1513
985,1514
986,1520
987,1522
988,1523
989,1524
990,1525
991,C3494162
992,1528
993,1535
994,1536
995,1537
996,1540
997,1543
998,1544
999,1545
1000,C0153405
1001,1548
1002,C0220669
1003,C3889588
1004,C0007862
1005,1553
1006,1555
1007,1557
1008,1558
1009,1559
1010,C0949855
1011,1562
1012,1565
1013,C1136209
1014,1571
1015,C0751005
1016,1576
1017,1577
1018,1580
1019,1581
1020,1582
1021,1583
1022,1584
1023,1585
1024,1586
1025,1587
1026,1588
1027,1589
1028,1591
1029,1592
1030,1593
1031,1594
1032,1595
1033,C3539506
1034,C4225172
1035,132671
1036,1600
1037,1604
1038,1605
1039,C0015499
1040,1607
1041,1608
1042,1609
1043,1610
1044,1611
1045,1612
1046,1613
1047,C0340803
1048,1615
1049,1616
1050,1617
1051,1618
1052,C0234306
1053,1620
1054,1621
1055,1622
1056,1627
1057,1628
1058,1629
1059,1630
1060,1634
1061,1636
1062,1637
1063,1639
1064,C3280314
1065,1641
1066,1642
1067,1643
1068,1644
1069,1645
1070,1646
1071,1647
1072,C0004030
1073,1649
1074,1650
1075,1653
1076,1654
1077,1655
1078,1656
1079,1657
1080,C3150736
1081,1662
1082,1663
1083,C0024302
1084,1665
1085,1666
1086,C2752062
1087,1668
1088,1669
1089,1670
1090,1671
1091,1672
1092,1673
1093,1674
1094,1675
1095,1678
1096,1687
1097,1690
1098,C1850100
1099,C0751038
1100,C0750920
1101,1714
1102,1716
1103,1717
1104,1718
1105,1719
1106,132789
1107,1723
1108,C0026705
1109,1727
1110,1728
1111,1729
1112,1730
1113,1733
1114,1734
1115,1735
1116,1736
1117,1737
1118,1738
1119,1739
1120,1740
1121,1741
1122,1742
1123,1743
1124,1745
1125,1746
1126,1747
1127,1748
1128,1749
1129,1750
1130,C0342282
1131,1755
1132,1756
1133,1757
1134,1758
1135,1759
1136,1760
1137,1761
1138,100271837
1139,1763
1140,C0600066
1141,1767
1142,1769
1143,1770
1144,1773
1145,1775
1146,1776
1147,1778
1148,C3887980
1149,1780
1150,C3147083
1151,1783
1152,1785
1153,1786
1154,1788
1155,1789
1156,1793
1157,1794
1158,1795
1159,1796
1160,1798
1161,1800
1162,1801
1163,1803
1164,1804
1165,1805
1166,1806
1167,1807
1168,1808
1169,C0342278
1170,C0265559
1171,1811
1172,1812
1173,1813
1174,1814
1175,1815
1176,1816
1177,132884
1178,C0433905
1179,1821
1180,1822
1181,1823
1182,1824
1183,1825
1184,1826
1185,1827
1186,1828
1187,1829
1188,C0266537
1189,1831
1190,1832
1191,1834
1192,1836
1193,1837
1194,C0221355
1195,1839
1196,1840
1197,1842
1198,1843
1199,1844
1200,1845
1201,1846
1202,1847
1203,1848
1204,1850
1205,C1857572
1206,1855
1207,C4225287
1208,1857
1209,C3553869
1210,1859
1211,1861
1212,1869
1213,C0348890
1214,1879
1215,1880
1216,1889
1217,1890
1218,1892
1219,1893
1220,1894
1221,1896
1222,1901
1223,1902
1224,1906
1225,1907
1226,1908
1227,1909
1228,1910
1229,1911
1230,1915
1231,C0017154
1232,1917
1233,1933
1234,1938
1235,C3179396
1236,1942
1237,1945
1238,1946
1239,1947
1240,1948
1241,1950
1242,1952
1243,1954
1244,1956
1245,1958
1246,1959
1247,1960
1248,1961
1249,1962
1250,C1970239
1251,1964
1252,1965
1253,C1839988
1254,1967
1255,1968
1256,1969
1257,1973
1258,1974
1259,1975
1260,1977
1261,1978
1262,1981
1263,1983
1264,1984
1265,1990
1266,1991
1267,1993
1268,1994
1269,1995
1270,C4225393
1271,1998
1272,1999
1273,2000
1274,2002
1275,2004
1276,C3277076
1277,2006
1278,2009
1279,2010
1280,2011
1281,2012
1282,2013
1283,2014
1284,2015
1285,2017
1286,2018
1287,2019
1288,2020
1289,2022
1290,2023
1291,C3151079
1292,2026
1293,2027
1294,2028
1295,2029
1296,2030
1297,2033
1298,2034
1299,2035
1300,2036
1301,2037
1302,2038
1303,2040
1304,2041
1305,2042
1306,2043
1307,2044
1308,2045
1309,2046
1310,2047
1311,2048
1312,2049
1313,2050
1314,2051
1315,2052
1316,2053
1317,2054
1318,2055
1319,2056
1320,2057
1321,C3150661
1322,2059
1323,C0010278
1324,C0017168
1325,C3280026
1326,2063
1327,2064
1328,2065
1329,2066
1330,2067
1331,2068
1332,2069
1333,2070
1334,2071
1335,2072
1336,2073
1337,2074
1338,100272147
1339,C1261473
1340,2077
1341,2078
1342,C1852551
1343,2081
1344,2091
1345,2098
1346,2099
1347,2100
1348,2101
1349,2103
1350,C4084709
1351,2108
1352,2109
1353,2110
1354,2113
1355,2114
1356,2115
1357,2117
1358,2118
1359,2119
1360,2120
1361,2121
1362,2122
1363,2130
1364,2131
1365,2132
1366,2134
1367,2137
1368,2138
1369,2146
1370,2147
1371,2149
1372,2150
1373,2152
1374,2153
1375,C0917996
1376,2155
1377,2157
1378,2158
1379,2159
1380,2160
1381,2161
1382,2162
1383,2165
1384,2166
1385,2167
1386,2168
1387,2169
1388,2170
1389,2171
1390,C0398791
1391,2173
1392,2175
1393,2176
1394,2177
1395,2178
1396,C0600260
1397,2180
1398,2182
1399,2184
1400,2185
1401,2186
1402,2187
1403,2188
1404,2189
1405,C0266573
1406,2192
1407,2194
1408,2195
1409,2196
1410,2199
1411,2200
1412,2201
1413,2202
1414,2203
1415,2205
1416,2206
1417,2207
1418,2208
1419,2209
1420,2212
1421,2213
1422,2214
1423,2215
1424,2218
1425,2219
1426,2220
1427,2222
1428,2224
1429,2232
1430,2235
1431,2237
1432,2239
1433,2241
1434,2243
1435,2244
1436,2245
1437,2246
1438,2247
1439,2248
1440,2249
1441,2250
1442,2251
1443,2252
1444,2253
1445,2254
1446,2255
1447,C1861832
1448,2257
1449,2258
1450,2259
1451,2260
1452,2261
1453,2262
1454,2263
1455,2264
1456,C1837154
1457,2266
1458,2268
1459,2271
1460,2272
1461,2273
1462,2274
1463,C0036503
1464,2277
1465,2280
1466,C0264939
1467,C0376670
1468,2286
1469,2288
1470,2289
1471,2290
1472,2294
1473,2295
1474,2296
1475,C0752289
1476,2299
1477,2301
1478,2303
1479,2304
1480,2305
1481,C1841837
1482,2308
1483,2309
1484,2312
1485,2313
1486,2314
1487,2315
1488,2316
1489,2317
1490,2318
1491,C0035344
1492,C1851479
1493,2321
1494,2322
1495,2324
1496,133396
1497,2326
1498,2327
1499,2328
1500,C4310744
1501,2332
1502,C3554524
1503,2334
1504,2335
1505,C0264886
1506,2346
1507,133418
1508,2348
1509,2350
1510,2353
1511,2354
1512,2355
1513,2356
1514,2358
1515,C3150958
1516,C0270853
1517,2395
1518,C1859311
1519,2414
1520,C0085700
1521,C4014283
1522,C0752109
1523,2444
1524,133522
1525,C0022821
1526,2464
1527,2475
1528,2483
1529,2487
1530,2488
1531,2492
1532,2494
1533,2495
1534,2512
1535,2516
1536,2517
1537,2520
1538,2521
1539,C3151126
1540,2524
1541,2526
1542,2529
1543,2530
1544,2531
1545,2532
1546,2533
1547,2534
1548,2535
1549,C4479236
1550,2537
1551,2538
1552,2539
1553,2542
1554,2543
1555,2547
1556,2548
1557,2549
1558,2550
1559,2551
1560,C0086651
1561,2553
1562,2554
1563,2555
1564,2556
1565,2557
1566,2558
1567,2559
1568,2560
1569,2561
1570,2562
1571,2563
1572,2565
1573,2566
1574,2567
1575,2568
1576,2569
1577,2570
1578,2571
1579,2572
1580,2580
1581,2581
1582,2582
1583,2583
1584,2584
1585,C0376544
1586,2587
1587,2588
1588,2591
1589,2592
1590,2593
1591,2596
1592,2597
1593,C0027962
1594,C3203733
1595,133686
1596,2617
1597,2618
1598,2619
1599,2620
1600,2621
1601,2622
1602,2623
1603,2624
1604,2625
1605,2626
1606,2627
1607,2628
1608,2629
1609,2632
1610,2633
1611,2634
1612,C0154040
1613,2637
1614,2638
1615,2639
1616,2641
1617,2642
1618,2643
1619,2644
1620,2645
1621,2646
1622,2647
1623,C2585653
1624,2650
1625,2651
1626,2652
1627,2653
1628,2657
1629,2658
1630,2660
1631,2661
1632,2662
1633,2664
1634,2665
1635,C0031149
1636,C0024419
1637,2668
1638,2670
1639,2671
1640,2672
1641,2673
1642,2674
1643,2675
1644,2676
1645,2677
1646,2678
1647,2683
1648,2688
1649,2689
1650,2690
1651,2691
1652,2692
1653,2693
1654,2694
1655,2695
1656,2696
1657,2697
1658,2700
1659,2701
1660,2702
1661,2703
1662,2705
1663,2706
1664,2707
1665,2709
1666,2710
1667,2717
1668,2719
1669,2720
1670,2729
1671,2730
1672,2731
1673,2733
1674,2735
1675,2736
1676,2737
1677,C1838547
1678,2739
1679,2740
1680,2741
1681,2742
1682,2743
1683,2744
1684,2746
1685,2747
1686,2752
1687,2760
1688,2766
1689,2767
1690,2768
1691,2770
1692,2771
1693,2773
1694,2774
1695,2775
1696,2776
1697,2778
1698,2779
1699,2780
1700,2782
1701,2784
1702,2787
1703,2788
1704,2791
1705,2793
1706,2796
1707,2798
1708,2799
1709,2803
1710,2804
1711,2805
1712,C1970160
1713,2810
1714,2811
1715,2812
1716,2813
1717,2815
1718,2817
1719,2819
1720,2820
1721,2821
1722,2823
1723,2826
1724,2831
1725,2832
1726,2833
1727,2837
1728,2840
1729,2846
1730,2847
1731,2850
1732,C4304540
1733,2852
1734,2857
1735,2859
1736,C0014848
1737,2861
1738,2869
1739,2870
1740,2873
1741,2875
1742,2876
1743,2877
1744,2878
1745,2879
1746,2880
1747,2885
1748,2886
1749,2887
1750,2888
1751,2889
1752,2890
1753,2891
1754,2892
1755,2893
1756,2894
1757,2895
1758,2896
1759,2897
1760,2898
1761,2899
1762,2900
1763,2901
1764,2902
1765,2903
1766,2904
1767,2905
1768,2906
1769,C1847540
1770,2908
1771,2909
1772,C0011993
1773,2911
1774,2912
1775,2913
1776,2914
1777,2915
1778,2916
1779,2917
1780,2918
1781,2919
1782,2920
1783,2921
1784,2922
1785,2923
1786,2925
1787,C2751297
1788,2931
1789,2932
1790,C3554462
1791,2934
1792,2936
1793,2937
1794,2938
1795,2939
1796,2940
1797,2941
1798,2944
1799,2946
1800,2947
1801,2948
1802,2949
1803,2950
1804,2952
1805,2953
1806,2954
1807,C3280795
1808,2956
1809,2957
1810,2959
1811,C3810055
1812,2961
1813,2969
1814,2971
1815,2972
1816,2973
1817,2977
1818,2978
1819,2979
1820,2981
1821,2982
1822,2984
1823,C0010606
1824,2986
1825,2990
1826,2992
1827,2993
1828,2994
1829,2995
1830,2996
1831,2997
1832,2998
1833,3000
1834,3001
1835,3002
1836,3005
1837,3006
1838,3008
1839,3009
1840,3012
1841,3014
1842,3020
1843,3021
1844,3026
1845,3028
1846,3029
1847,3030
1848,3032
1849,3033
1850,3034
1851,3035
1852,3038
1853,3039
1854,3040
1855,3043
1856,3045
1857,3047
1858,3048
1859,C0023308
1860,3050
1861,3052
1862,3053
1863,3054
1864,3055
1865,3059
1866,3060
1867,3061
1868,3062
1869,C1842462
1870,3064
1871,3065
1872,3066
1873,3067
1874,3068
1875,3069
1876,3070
1877,3071
1878,C0086768
1879,3073
1880,3074
1881,3075
1882,3077
1883,3078
1884,3081
1885,3082
1886,3083
1887,3084
1888,3087
1889,C3554399
1890,3090
1891,3091
1892,3092
1893,3094
1894,C1608955
1895,3097
1896,3098
1897,3099
1898,C2350171
1899,3101
1900,3105
1901,3106
1902,3107
1903,3108
1904,C1836603
1905,3110
1906,3113
1907,C3714932
1908,3115
1909,3116
1910,3117
1911,3118
1912,3119
1913,C1858805
1914,3122
1915,3123
1916,C0344297
1917,3126
1918,3127
1919,3131
1920,3133
1921,3135
1922,3137
1923,C1562894
1924,3141
1925,3145
1926,3146
1927,134218
1928,3148
1929,3149
1930,3150
1931,3155
1932,3156
1933,3158
1934,3159
1935,C4310663
1936,3161
1937,3162
1938,3163
1939,3164
1940,C0752110
1941,3166
1942,C4479510
1943,C1839040
1944,3169
1945,3170
1946,3171
1947,3172
1948,C4479186
1949,C0018021
1950,3176
1951,3178
1952,3181
1953,3182
1954,3187
1955,3188
1956,3190
1957,3191
1958,3192
1959,3195
1960,3198
1961,3199
1962,3200
1963,3201
1964,3202
1965,3205
1966,3206
1967,3207
1968,3208
1969,3209
1970,3211
1971,C1832525
1972,3213
1973,3215
1974,3218
1975,3219
1976,3225
1977,3229
1978,3231
1979,3232
1980,3233
1981,3235
1982,3236
1983,3237
1984,3238
1985,3239
1986,3240
1987,3241
1988,3242
1989,C0392514
1990,3248
1991,3249
1992,3251
1993,C0220658
1994,3257
1995,3260
1996,3261
1997,3263
1998,3265
1999,C0087169
2000,3267
2001,3269
2002,3270
2003,3273
2004,3274
2005,C4310676
2006,3280
2007,3283
2008,3284
2009,3290
2010,3291
2011,3292
2012,3293
2013,3294
2014,3295
2015,C3468041
2016,3297
2017,3299
2018,3300
2019,3301
2020,3303
2021,3304
2022,3305
2023,3306
2024,3308
2025,3309
2026,3310
2027,3312
2028,3313
2029,3315
2030,C0220708
2031,3320
2032,3321
2033,C4479618
2034,3326
2035,3329
2036,C3279841
2037,3336
2038,3337
2039,3339
2040,3340
2041,C0013604
2042,3342
2043,C0242036
2044,3346
2045,3350
2046,3351
2047,3352
2048,3355
2049,3356
2050,3357
2051,3358
2052,3359
2053,3360
2054,3361
2055,3362
2056,3363
2057,134430
2058,C1852297
2059,3371
2060,3373
2061,3375
2062,3376
2063,3381
2064,3383
2065,3384
2066,3385
2067,3394
2068,3397
2069,3398
2070,3399
2071,3400
2072,C0000772
2073,C1857587
2074,3416
2075,3417
2076,3418
2077,3419
2078,3420
2079,C0030437
2080,3423
2081,3425
2082,3426
2083,3429
2084,3430
2085,3431
2086,3433
2087,3434
2088,3437
2089,3439
2090,3440
2091,3442
2092,3446
2093,3454
2094,3455
2095,3456
2096,C0154682
2097,3458
2098,3459
2099,3460
2100,C3151781
2101,C0268238
2102,3475
2103,3476
2104,3479
2105,3480
2106,3481
2107,3482
2108,3483
2109,3484
2110,3485
2111,3486
2112,3488
2113,3489
2114,3490
2115,3491
2116,3492
2117,3500
2118,3501
2119,C0014849
2120,3507
2121,3508
2122,3514
2123,3516
2124,C3553960
2125,3543
2126,3547
2127,3549
2128,3551
2129,3552
2130,3553
2131,3554
2132,3556
2133,3557
2134,3558
2135,3559
2136,3560
2137,3561
2138,3562
2139,3563
2140,3565
2141,3566
2142,3567
2143,3568
2144,3569
2145,3570
2146,3572
2147,3574
2148,3575
2149,3576
2150,3577
2151,3578
2152,3579
2153,3581
2154,C0455503
2155,3586
2156,3587
2157,3588
2158,3589
2159,3590
2160,3592
2161,3593
2162,3594
2163,3595
2164,3596
2165,3598
2166,3600
2167,C1839736
2168,3603
2169,3604
2170,3605
2171,3606
2172,C1836373
2173,3608
2174,C3714897
2175,C0016579
2176,3611
2177,3612
2178,3613
2179,3614
2180,3615
2181,3617
2182,3619
2183,3620
2184,3621
2185,C0205697
2186,3623
2187,3624
2188,3625
2189,3626
2190,3627
2191,3628
2192,134701
2193,3630
2194,3631
2195,3632
2196,3635
2197,3636
2198,C2931111
2199,3638
2200,3640
2201,3642
2202,3643
2203,3645
2204,3646
2205,C1843292
2206,3651
2207,3652
2208,3653
2209,3654
2210,3655
2211,3656
2212,134728
2213,3658
2214,3659
2215,3660
2216,3661
2217,3662
2218,3663
2219,3664
2220,3665
2221,C0751327
2222,3667
2223,C0017160
2224,3669
2225,3670
2226,3671
2227,3672
2228,3673
2229,3674
2230,3675
2231,3676
2232,3678
2233,3679
2234,3680
2235,C0005899
2236,3683
2237,3684
2238,3685
2239,3687
2240,3688
2241,3689
2242,3690
2243,3691
2244,3692
2245,3693
2246,3694
2247,3696
2248,3697
2249,3699
2250,3700
2251,3702
2252,3703
2253,3704
2254,3705
2255,3708
2256,3709
2257,3710
2258,C0221055
2259,3712
2260,3713
2261,3714
2262,C1846385
2263,3716
2264,3717
2265,3718
2266,3720
2267,3725
2268,3726
2269,3727
2270,3728
2271,3730
2272,3732
2273,3735
2274,3736
2275,3737
2276,3739
2277,3741
2278,3744
2279,3745
2280,3746
2281,C0010481
2282,3748
2283,3749
2284,3750
2285,C0917990
2286,3752
2287,3753
2288,3756
2289,3757
2290,3758
2291,3759
2292,3760
2293,3761
2294,3762
2295,3763
2296,3764
2297,134829
2298,3766
2299,3767
2300,3769
2301,3772
2302,3775
2303,3776
2304,3777
2305,3778
2306,3779
2307,3780
2308,C3179349
2309,3782
2310,3783
2311,3784
2312,3785
2313,3786
2314,3787
2315,3790
2316,3791
2317,134864
2318,C0751512
2319,3795
2320,3796
2321,3797
2322,3798
2323,3799
2324,3800
2325,C1866560
2326,3811
2327,3814
2328,3815
2329,3816
2330,3817
2331,3818
2332,3820
2333,3822
2334,3827
2335,C3263723
2336,3832
2337,C0151636
2338,3835
2339,3836
2340,3837
2341,3838
2342,3839
2343,C0432122
2344,3841
2345,3843
2346,3845
2347,3848
2348,3849
2349,3850
2350,3851
2351,3852
2352,3853
2353,3854
2354,3855
2355,3856
2356,3857
2357,3858
2358,3859
2359,3860
2360,3861
2361,3866
2362,3868
2363,C0013447
2364,C1850764
2365,3872
2366,C3165106
2367,3875
2368,C0948089
2369,3880
2370,3882
2371,3887
2372,C1842778
2373,3889
2374,3891
2375,3892
2376,3895
2377,C3808166
2378,3897
2379,3899
2380,3903
2381,109580095
2382,C4046029
2383,3908
2384,3909
2385,3910
2386,3912
2387,3913
2388,3914
2389,3915
2390,3918
2391,3920
2392,3921
2393,3925
2394,3927
2395,3929
2396,3930
2397,3931
2398,3932
2399,3934
2400,3936
2401,3937
2402,3938
2403,3939
2404,3945
2405,3948
2406,3949
2407,C0006826
2408,C0221204
2409,3952
2410,3953
2411,3954
2412,3955
2413,3956
2414,3957
2415,3958
2416,3959
2417,3963
2418,3965
2419,C4310770
2420,3972
2421,3973
2422,3975
2423,3976
2424,3977
2425,3978
2426,3980
2427,3981
2428,3982
2429,3983
2430,3984
2431,3985
2432,C0025193
2433,C1848030
2434,3988
2435,3990
2436,3991
2437,3992
2438,3993
2439,C0008297
2440,3996
2441,3998
2442,4000
2443,4001
2444,4004
2445,4005
2446,C0431692
2447,4007
2448,4008
2449,4009
2450,4010
2451,4012
2452,4014
2453,4015
2454,4016
2455,4017
2456,4018
2457,4023
2458,C1859049
2459,4026
2460,4035
2461,4036
2462,C0005612
2463,4038
2464,4040
2465,4041
2466,135112
2467,4043
2468,4045
2469,4046
2470,4047
2471,4048
2472,4049
2473,4050
2474,4051
2475,4052
2476,4053
2477,4054
2478,4055
2479,4056
2480,4057
2481,4058
2482,C0266432
2483,4060
2484,4061
2485,4066
2486,4067
2487,4068
2488,4069
2489,4070
2490,4072
2491,C1868596
